Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(214.0, 421.0)","(1061.0, 431.0)","(561.6997680664062, -534.5950317382812, 288.12066650390625)","(216.86, 422.99)","(1061.01, 436.08)"
"(215.0, 423.0)","(1060.0, 431.0)","(561.8749389648438, -534.2027587890625, 288.3551025390625)","(218.02, 422.92)","(1059.8, 435.74)"
"(219.0, 422.0)","(1058.0, 431.0)","(562.5126953125, -533.6021118164062, 288.6206359863281)","(219.08, 422.86)","(1058.72, 435.93)"
"(216.0, 421.0)","(1057.0, 431.0)","(561.6475830078125, -533.89306640625, 288.1030578613281)","(219.38, 422.84)","(1057.29, 435.62)"
"(219.0, 422.0)","(1056.0, 431.0)","(562.2522583007812, -533.361083984375, 288.4900817871094)","(222.23, 421.21)","(1056.37, 435.38)"
"(223.0, 421.0)","(1055.0, 430.0)","(562.9917602539062, -532.9468383789062, 288.8533630371094)","(223.2, 421.17)","(1055.47, 435.35)"
"(223.0, 422.0)","(1054.0, 430.0)","(562.896240234375, -532.7454223632812, 288.87664794921875)","(223.96, 421.12)","(1054.54, 435.56)"
"(224.0, 421.0)","(1052.0, 430.0)","(562.8326416015625, -532.474853515625, 288.77789306640625)","(224.48, 421.12)","(1053.09, 435.67)"
"(222.0, 419.0)","(1052.0, 430.0)","(562.2973022460938, -532.8572998046875, 288.35870361328125)","(226.27, 421.19)","(1052.03, 435.24)"
"(227.0, 421.0)","(1050.0, 430.0)","(563.2683715820312, -531.9026489257812, 289.009033203125)","(228.38, 420.65)","(1050.65, 435.31)"
"(228.0, 421.0)","(1049.0, 430.0)","(563.3696899414062, -531.671630859375, 289.0640869140625)","(229.2, 420.63)","(1049.33, 435.19)"
"(229.0, 421.0)","(1048.0, 430.0)","(563.4707641601562, -531.4406127929688, 289.11895751953125)","(230.13, 420.55)","(1048.25, 434.77)"
"(228.0, 421.0)","(1047.0, 430.0)","(563.1074829101562, -531.4302978515625, 288.9326477050781)","(231.21, 420.42)","(1047.56, 434.73)"
"(229.0, 418.0)","(1046.0, 430.0)","(563.1048583984375, -531.442138671875, 288.72222900390625)","(231.72, 420.4)","(1046.6, 434.82)"
"(230.0, 422.0)","(1044.0, 430.0)","(563.2119750976562, -530.766357421875, 289.064453125)","(233.17, 420.36)","(1044.46, 434.8)"
"(228.0, 418.0)","(1043.0, 430.0)","(562.4800415039062, -531.1907348632812, 288.40496826171875)","(234.33, 420.33)","(1042.98, 434.41)"
"(232.0, 419.0)","(1042.0, 430.0)","(563.309814453125, -530.5469360351562, 288.9089050292969)","(235.29, 420.15)","(1042.57, 434.53)"
"(235.0, 419.0)","(1041.0, 430.0)","(563.8726806640625, -530.0945434570312, 289.2037048339844)","(237.06, 419.71)","(1041.08, 434.08)"
"(235.0, 421.0)","(1039.0, 430.0)","(563.6770629882812, -529.69091796875, 289.2476501464844)","(239.13, 419.58)","(1039.87, 434.29)"
"(236.0, 418.0)","(1038.0, 430.0)","(563.6748657226562, -529.7026977539062, 289.0378112792969)","(240.31, 419.45)","(1038.75, 434.22)"
"(235.0, 422.0)","(1037.0, 430.0)","(563.4473266601562, -529.3683471679688, 289.203369140625)","(241.31, 419.41)","(1036.93, 433.94)"
"(237.0, 418.0)","(1036.0, 430.0)","(563.642333984375, -529.3504028320312, 289.0257568359375)","(243.52, 418.62)","(1035.69, 433.77)"
"(239.0, 419.0)","(1034.0, 430.0)","(563.87353515625, -528.8062744140625, 289.2210998535156)","(244.88, 418.49)","(1034.5, 433.98)"
"(243.0, 419.0)","(1032.0, 429.0)","(564.5054321289062, -528.1889038085938, 289.60174560546875)","(246.15, 418.38)","(1032.59, 433.29)"
"(220.0, 422.0)","(1029.0, 429.0)","(558.9161376953125, -530.1310424804688, 286.91534423828125)","(248.31, 418.21)","(1029.5, 433.01)"
"(248.0, 418.0)","(1027.0, 428.0)","(564.9343872070312, -527.1788940429688, 289.8140869140625)","(250.64, 417.97)","(1027.12, 433.16)"
"(249.0, 415.0)","(1026.0, 428.0)","(564.9328002929688, -527.1905517578125, 289.60455322265625)","(253.07, 417.52)","(1026.65, 433.17)"
"(249.0, 417.0)","(1025.0, 428.0)","(564.8656005859375, -526.9072265625, 289.7129211425781)","(254.34, 417.48)","(1024.78, 432.9)"
"(250.0, 418.0)","(1023.0, 428.0)","(564.8619995117188, -526.4733276367188, 289.7862854003906)","(255.29, 417.35)","(1023.82, 432.72)"
"(257.0, 415.0)","(1023.0, 428.0)","(566.3711547851562, -525.9403686523438, 290.3593444824219)","(256.27, 417.2)","(1023.36, 432.69)"
"(256.0, 415.0)","(1024.0, 432.0)","(566.3759155273438, -525.90185546875, 290.1685485839844)","(257.47, 417.06)","(1021.81, 432.62)"
"(257.0, 417.0)","(1019.0, 428.0)","(565.9009399414062, -525.2937622070312, 290.26568603515625)","(259.3, 417.04)","(1019.34, 432.68)"
"(258.0, 417.0)","(1017.0, 428.0)","(565.8624267578125, -524.940673828125, 290.2506408691406)","(260.43, 416.54)","(1017.24, 432.66)"
"(259.0, 414.0)","(1016.0, 428.0)","(565.8615112304688, -524.9520874023438, 290.041748046875)","(262.41, 416.04)","(1016.49, 432.45)"
"(258.0, 417.0)","(1015.0, 428.0)","(565.5948486328125, -524.698486328125, 290.1165771484375)","(263.84, 415.87)","(1015.84, 432.38)"
"(260.0, 414.0)","(1014.0, 428.0)","(565.8226928710938, -524.598876953125, 290.026611328125)","(264.9, 415.8)","(1015.0, 432.21)"
"(263.0, 415.0)","(1012.0, 427.0)","(566.2472534179688, -524.010009765625, 290.3702392578125)","(266.0, 415.74)","(1013.0, 432.17)"
"(263.0, 414.0)","(1010.0, 427.0)","(565.9473876953125, -523.84912109375, 290.149169921875)","(267.04, 415.36)","(1011.16, 432.23)"
"(260.0, 418.0)","(1009.0, 427.0)","(565.25537109375, -523.7366943359375, 290.07293701171875)","(268.91, 414.25)","(1010.02, 432.21)"
"(264.0, 417.0)","(1008.0, 427.0)","(566.00146484375, -523.2520141601562, 290.39300537109375)","(270.84, 413.19)","(1008.34, 431.96)"
"(271.0, 414.0)","(1006.0, 427.0)","(567.2333984375, -522.4745483398438, 290.8275146484375)","(271.28, 413.19)","(1006.63, 431.69)"
"(274.0, 411.0)","(1005.0, 427.0)","(567.6887817382812, -522.2633056640625, 290.855712890625)","(274.75, 412.6)","(1006.0, 431.68)"
"(275.0, 411.0)","(1003.0, 427.0)","(567.6461791992188, -521.9094848632812, 290.8387756347656)","(276.34, 412.58)","(1003.89, 431.42)"
"(276.0, 414.0)","(1002.0, 427.0)","(567.8306274414062, -521.4329833984375, 291.14801025390625)","(277.86, 412.52)","(1002.73, 431.49)"
"(274.0, 410.0)","(1000.0, 427.0)","(566.98291015625, -521.739013671875, 290.43157958984375)","(278.69, 412.42)","(1001.15, 431.64)"
"(275.0, 413.0)","(1001.0, 426.0)","(567.413330078125, -521.5728759765625, 290.91131591796875)","(279.64, 412.08)","(1001.1, 432.38)"
"(280.0, 411.0)","(1002.0, 426.0)","(568.6242065429688, -521.2996215820312, 291.3973693847656)","(281.63, 412.09)","(1001.59, 433.46)"
"(275.0, 415.0)","(1005.0, 426.0)","(568.0157470703125, -521.8952026367188, 291.3547058105469)","(281.53, 413.19)","(1002.5, 434.58)"
"(280.0, 414.0)","(1008.0, 426.0)","(569.5307006835938, -521.7839965820312, 292.0640563964844)","(283.15, 414.67)","(1008.73, 433.6)"
"(282.0, 415.0)","(1012.0, 426.0)","(570.5619506835938, -521.9664916992188, 292.6601257324219)","(283.59, 414.86)","(1000.31, 437.24)"
"(280.0, 415.0)","(1001.0, 438.0)","(568.8995971679688, -520.0309448242188, 291.2461853027344)","(283.99, 415.95)","(1000.39, 437.28)"
"(282.0, 421.0)","(1000.0, 438.0)","(569.3980102539062, -519.20068359375, 291.9253234863281)","(284.02, 416.51)","(1001.83, 437.59)"
"(281.0, 418.0)","(1001.0, 434.0)","(569.1210327148438, -519.9508666992188, 291.76385498046875)","(283.29, 417.0)","(1002.94, 435.69)"
"(281.0, 421.0)","(999.0, 435.0)","(568.962890625, -519.3963623046875, 291.8473815917969)","(282.11, 417.16)","(1001.99, 434.63)"
"(281.0, 418.0)","(998.0, 436.0)","(568.7601928710938, -519.44873046875, 291.4871520996094)","(284.3, 419.11)","(997.66, 434.25)"
"(283.0, 417.0)","(996.0, 429.0)","(568.7432250976562, -519.54443359375, 291.7513122558594)","(285.25, 419.11)","(995.3, 434.53)"
"(284.0, 419.0)","(994.0, 428.0)","(568.7329711914062, -519.0966796875, 291.93896484375)","(286.48, 419.0)","(993.92, 434.53)"
"(285.0, 419.0)","(993.0, 430.0)","(568.8701171875, -518.7262573242188, 291.9161376953125)","(287.03, 418.94)","(992.88, 434.32)"
"(285.0, 419.0)","(991.0, 429.0)","(568.573486328125, -518.5521240234375, 291.8152160644531)","(288.15, 418.73)","(991.55, 434.38)"
"(286.0, 421.0)","(990.0, 429.0)","(568.7218017578125, -518.1571655273438, 292.0342102050781)","(289.4, 418.21)","(991.13, 434.29)"
"(289.0, 419.0)","(989.0, 429.0)","(569.203125, -517.86279296875, 292.1472473144531)","(291.01, 418.64)","(989.65, 434.56)"
