Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(299.0, 441.0)","(971.0, 434.0)","(569.7047729492188, -512.439697265625, 293.7258605957031)","(310.94, 444.04)","(968.92, 436.86)"
"(306.0, 443.0)","(969.0, 434.0)","(571.0390625, -511.25445556640625, 294.559814453125)","(311.33, 444.01)","(967.78, 436.62)"
"(300.0, 441.0)","(969.0, 434.0)","(569.649658203125, -512.0841064453125, 293.7015075683594)","(312.36, 444.23)","(966.93, 436.53)"
"(300.0, 441.0)","(968.0, 434.0)","(569.5107421875, -511.96221923828125, 293.6315002441406)","(313.09, 444.3)","(966.57, 436.35)"
"(304.0, 441.0)","(967.0, 434.0)","(570.2611083984375, -511.3934020996094, 294.023193359375)","(314.05, 444.48)","(965.42, 435.95)"
"(304.0, 441.0)","(966.0, 434.0)","(570.1217651367188, -511.2713623046875, 293.9529724121094)","(314.82, 444.53)","(964.82, 435.7)"
"(304.0, 441.0)","(965.0, 434.0)","(569.9824829101562, -511.1493835449219, 293.8827819824219)","(315.5, 444.84)","(963.99, 435.56)"
"(306.0, 441.0)","(965.0, 434.0)","(570.4266967773438, -510.9258728027344, 294.1134338378906)","(316.23, 445.13)","(962.86, 436.0)"
"(308.0, 442.0)","(964.0, 434.0)","(570.7579956054688, -510.50042724609375, 294.35595703125)","(316.6, 445.36)","(962.02, 436.48)"
"(308.0, 442.0)","(963.0, 434.0)","(570.6182250976562, -510.37835693359375, 294.2855224609375)","(317.15, 445.68)","(961.41, 436.44)"
"(308.0, 442.0)","(962.0, 434.0)","(570.478515625, -510.25640869140625, 294.215087890625)","(317.49, 445.85)","(960.75, 436.17)"
"(308.0, 442.0)","(962.0, 434.0)","(570.478515625, -510.25640869140625, 294.215087890625)","(389.77, 433.63)","(959.69, 435.98)"
"(308.0, 442.0)","(959.0, 434.0)","(570.0594482421875, -509.8903503417969, 294.0038146972656)","(389.87, 433.66)","(959.03, 435.82)"
"(308.0, 442.0)","(960.0, 434.0)","(570.1990966796875, -510.0123291015625, 294.07421875)","(389.82, 433.73)","(958.56, 435.75)"
"(312.0, 442.0)","(959.0, 434.0)","(570.945068359375, -509.4428405761719, 294.4636535644531)","(389.53, 433.78)","(957.74, 435.56)"
"(318.0, 444.0)","(958.0, 434.0)","(572.1849975585938, -508.4901428222656, 295.2460632324219)","(323.91, 447.35)","(957.63, 435.35)"
"(324.0, 447.0)","(956.0, 438.0)","(573.3936157226562, -507.0556335449219, 295.8819580078125)","(324.74, 447.38)","(956.88, 435.15)"
"(322.0, 444.0)","(957.0, 434.0)","(572.9286499023438, -507.9205322265625, 295.6343078613281)","(389.87, 433.71)","(955.47, 434.93)"
"(316.0, 443.0)","(956.0, 434.0)","(571.435302734375, -508.54925537109375, 294.7927551269531)","(325.62, 447.44)","(953.74, 435.7)"
"(315.0, 443.0)","(956.0, 434.0)","(571.2142333984375, -508.6611633300781, 294.6780090332031)","(389.82, 433.7)","(952.85, 435.44)"
"(318.0, 443.0)","(955.0, 434.0)","(571.7366943359375, -508.2033386230469, 294.9513854980469)","(390.0, 433.69)","(951.93, 435.26)"
"(318.0, 443.0)","(954.0, 434.0)","(571.5960083007812, -508.0812072753906, 294.8804016113281)","(389.9, 433.7)","(950.99, 435.23)"
"(320.0, 444.0)","(952.0, 434.0)","(571.7815551757812, -507.5332946777344, 295.04913330078125)","(389.91, 433.58)","(950.42, 435.09)"
"(320.0, 443.0)","(952.0, 434.0)","(571.755859375, -507.6130065917969, 294.9676513671875)","(389.34, 433.75)","(949.12, 435.61)"
"(327.0, 445.0)","(950.0, 434.0)","(573.067626953125, -506.4253845214844, 295.7891540527344)","(389.89, 433.79)","(947.92, 436.0)"
"(327.0, 449.0)","(949.0, 434.0)","(573.0269775390625, -505.9852600097656, 296.0421142578125)","(389.66, 433.72)","(946.86, 435.84)"
"(330.0, 445.0)","(948.0, 434.0)","(573.444580078125, -505.8447570800781, 295.9890441894531)","(389.35, 433.69)","(944.19, 436.52)"
"(332.0, 448.0)","(946.0, 434.0)","(573.6752319335938, -505.13775634765625, 296.31689453125)","(389.57, 433.8)","(943.7, 436.1)"
"(326.0, 444.0)","(945.0, 434.0)","(572.1143798828125, -506.0058898925781, 295.2366027832031)","(389.59, 433.79)","(942.4, 435.87)"
"(326.0, 444.0)","(943.0, 434.0)","(571.8314819335938, -505.7615966796875, 295.0938720703125)","(389.51, 433.84)","(941.42, 435.71)"
"(326.0, 444.0)","(942.0, 434.0)","(571.6900024414062, -505.63946533203125, 295.0225524902344)","(340.72, 450.09)","(940.61, 435.64)"
"(326.0, 445.0)","(941.0, 434.0)","(571.5736083984375, -505.4376220703125, 295.03216552734375)","(341.31, 450.2)","(939.49, 435.64)"
"(332.0, 445.0)","(941.0, 434.0)","(572.8897094726562, -504.7646484375, 295.71551513671875)","(341.73, 450.2)","(938.71, 435.46)"
"(332.0, 445.0)","(940.0, 434.0)","(572.7476806640625, -504.6424255371094, 295.6438293457031)","(341.82, 450.12)","(937.72, 435.89)"
"(332.0, 445.0)","(939.0, 434.0)","(572.6055297851562, -504.5201721191406, 295.5721435546875)","(342.2, 450.23)","(937.09, 435.51)"
