Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(344.0, 438.0)","(937.0, 428.0)","(574.6548461914062, -503.91064453125, 296.4637145996094)","(344.48, 438.96)","(936.94, 431.36)"
"(344.0, 439.0)","(935.0, 428.0)","(574.3934326171875, -503.5864562988281, 296.40069580078125)","(347.17, 439.98)","(935.06, 431.02)"
"(345.0, 439.0)","(933.0, 428.0)","(574.3265991210938, -503.22979736328125, 296.3704833984375)","(347.64, 439.24)","(933.4, 431.07)"
"(348.0, 438.0)","(928.0, 430.0)","(574.2841796875, -502.2197265625, 296.19146728515625)","(350.03, 439.94)","(931.41, 431.3)"
"(349.0, 438.0)","(928.0, 431.0)","(574.5228271484375, -502.0362243652344, 296.26544189453125)","(351.11, 440.06)","(929.16, 431.44)"
"(352.0, 436.0)","(927.0, 431.0)","(574.9869995117188, -501.73614501953125, 296.3724060058594)","(354.35, 440.9)","(927.25, 431.28)"
"(342.0, 435.0)","(926.0, 427.0)","(572.5560913085938, -503.10369873046875, 295.2428283691406)","(354.94, 440.62)","(926.64, 431.33)"
"(357.0, 436.0)","(924.0, 427.0)","(575.5660400390625, -501.0911865234375, 296.880126953125)","(355.84, 440.52)","(924.67, 431.19)"
"(358.0, 438.0)","(923.0, 428.0)","(575.7064208984375, -500.6256103515625, 297.0417785644531)","(356.58, 440.46)","(923.59, 431.05)"
"(358.0, 439.0)","(921.0, 428.0)","(575.4412231445312, -500.3013610839844, 296.9766540527344)","(357.46, 440.45)","(922.33, 431.25)"
"(359.0, 439.0)","(921.0, 428.0)","(575.6588134765625, -500.1888427734375, 297.0897216796875)","(359.2, 440.57)","(921.05, 431.25)"
"(360.0, 440.0)","(919.0, 427.0)","(575.5907592773438, -499.82330322265625, 297.1771240234375)","(362.76, 441.31)","(919.44, 431.19)"
"(360.0, 438.0)","(918.0, 428.0)","(575.4205322265625, -499.7892150878906, 296.90460205078125)","(363.22, 441.31)","(918.52, 431.14)"
"(363.0, 438.0)","(917.0, 428.0)","(575.9279174804688, -499.32904052734375, 297.1705017089844)","(363.77, 441.36)","(917.16, 431.08)"
"(364.0, 443.0)","(916.0, 428.0)","(576.113037109375, -498.69598388671875, 297.6089172363281)","(364.1, 441.44)","(916.09, 431.14)"
"(365.0, 440.0)","(915.0, 428.0)","(576.1177978515625, -498.69976806640625, 297.4097900390625)","(365.44, 441.54)","(915.16, 430.91)"
"(365.0, 441.0)","(913.0, 428.0)","(575.8504638671875, -498.37554931640625, 297.34332275390625)","(366.2, 441.67)","(913.63, 431.1)"
"(368.0, 443.0)","(912.0, 427.0)","(576.380126953125, -497.82763671875, 297.8069763183594)","(366.58, 441.52)","(912.74, 431.26)"
"(371.0, 443.0)","(910.0, 430.0)","(576.7964477539062, -497.03009033203125, 297.8762512207031)","(370.35, 442.69)","(911.71, 431.18)"
"(369.0, 443.0)","(913.0, 428.0)","(576.7613525390625, -497.76580810546875, 297.95245361328125)","(368.61, 441.96)","(912.03, 429.57)"
"(371.0, 441.0)","(916.0, 428.0)","(577.5869750976562, -498.0666809082031, 298.2389831542969)","(368.75, 441.51)","(912.19, 428.25)"
"(369.0, 441.0)","(916.0, 428.0)","(577.1529541015625, -498.2919616699219, 298.0134582519531)","(370.57, 441.28)","(912.14, 427.17)"
"(371.0, 440.0)","(917.0, 427.0)","(577.6907348632812, -498.34002685546875, 298.2730407714844)","(371.2, 440.35)","(912.95, 426.62)"
"(371.0, 438.0)","(921.0, 427.0)","(578.2278442382812, -498.98876953125, 298.40679931640625)","(371.54, 439.84)","(915.09, 426.43)"
"(370.0, 440.0)","(915.0, 426.0)","(577.1633911132812, -498.27935791015625, 298.0538330078125)","(371.91, 438.21)","(914.6, 425.79)"
"(370.0, 440.0)","(915.0, 426.0)","(577.1633911132812, -498.27935791015625, 298.0538330078125)","(371.82, 435.29)","(913.0, 425.28)"
"(370.0, 440.0)","(912.0, 425.0)","(576.7081298828125, -497.98394775390625, 297.87432861328125)","(372.0, 434.36)","(911.98, 425.62)"
"(368.0, 440.0)","(910.0, 425.0)","(575.98486328125, -497.96490478515625, 297.5028076171875)","(371.79, 433.79)","(910.98, 427.06)"
"(370.0, 434.0)","(908.0, 424.0)","(575.9757690429688, -498.04541015625, 297.1441345214844)","(371.77, 433.4)","(908.56, 427.88)"
"(370.0, 431.0)","(906.0, 424.0)","(575.6199340820312, -498.04144287109375, 296.759033203125)","(372.99, 433.53)","(906.43, 427.29)"
"(375.0, 431.0)","(906.0, 424.0)","(576.7018432617188, -497.4766540527344, 297.3215637207031)","(375.62, 433.47)","(905.77, 427.09)"
"(376.0, 432.0)","(904.0, 424.0)","(576.6492309570312, -497.03936767578125, 297.36737060546875)","(377.29, 433.45)","(904.18, 427.0)"
"(379.0, 434.0)","(903.0, 424.0)","(577.195068359375, -496.4184265136719, 297.7900085449219)","(378.6, 433.43)","(903.15, 427.11)"
"(377.0, 432.0)","(902.0, 424.0)","(576.5744018554688, -496.68212890625, 297.33331298828125)","(379.62, 433.49)","(901.95, 427.58)"
"(379.0, 434.0)","(901.0, 424.0)","(576.9035034179688, -496.17401123046875, 297.6432189941406)","(380.43, 433.53)","(900.7, 427.62)"
"(380.0, 434.0)","(899.0, 424.0)","(576.82763671875, -495.816650390625, 297.6085205078125)","(382.08, 433.29)","(899.17, 426.86)"
"(383.0, 430.0)","(898.0, 424.0)","(577.2432250976562, -495.6751708984375, 297.5542297363281)","(383.66, 433.17)","(898.44, 426.89)"
"(384.0, 432.0)","(896.0, 424.0)","(577.2088623046875, -495.1576843261719, 297.67767333984375)","(384.39, 433.22)","(896.7, 426.35)"
"(383.0, 432.0)","(895.0, 424.0)","(576.8475341796875, -495.148681640625, 297.49224853515625)","(384.66, 432.82)","(895.58, 426.25)"
"(387.0, 431.0)","(893.0, 424.0)","(577.3944702148438, -494.53167724609375, 297.7133483886719)","(387.66, 433.24)","(893.76, 426.64)"
"(387.0, 438.0)","(891.0, 424.0)","(577.24658203125, -493.7284240722656, 298.1173095703125)","(389.82, 432.82)","(891.2, 426.56)"
"(388.0, 438.0)","(889.0, 424.0)","(577.1676635742188, -493.370849609375, 298.0809326171875)","(390.98, 432.82)","(890.05, 426.13)"
"(389.0, 438.0)","(888.0, 424.0)","(577.235107421875, -493.1354675292969, 298.11834716796875)","(392.69, 432.94)","(888.45, 425.57)"
"(390.0, 438.0)","(887.0, 423.0)","(577.2842407226562, -492.97235107421875, 298.1967468261719)","(394.03, 433.1)","(887.65, 425.53)"
"(392.0, 438.0)","(886.0, 424.0)","(577.5834350585938, -492.5514831542969, 298.30419921875)","(395.44, 432.52)","(886.53, 425.65)"
"(393.0, 439.0)","(885.0, 424.0)","(577.6702880859375, -492.23638916015625, 298.4194641113281)","(396.29, 432.67)","(884.95, 425.53)"
"(394.0, 440.0)","(884.0, 423.0)","(577.7388916015625, -491.9938049316406, 298.5757751464844)","(397.33, 432.8)","(883.91, 425.31)"
"(395.0, 440.0)","(882.0, 423.0)","(577.6576538085938, -491.63604736328125, 298.5382080078125)","(398.92, 432.83)","(882.83, 425.08)"
"(396.0, 440.0)","(881.0, 423.0)","(577.7235717773438, -491.4005432128906, 298.5748596191406)","(400.09, 432.86)","(881.65, 424.74)"
"(397.0, 440.0)","(880.0, 423.0)","(577.789306640625, -491.1650390625, 298.6113586425781)","(400.61, 432.83)","(880.29, 424.57)"
"(399.0, 440.0)","(879.0, 423.0)","(578.068115234375, -490.8162841796875, 298.7586669921875)","(401.56, 432.82)","(880.13, 424.48)"
"(400.0, 440.0)","(880.0, 423.0)","(578.4292602539062, -490.8254089355469, 298.94415283203125)","(402.1, 432.5)","(879.0, 424.51)"
"(406.0, 431.0)","(879.0, 422.0)","(579.3682250976562, -490.8125915527344, 298.8748474121094)","(404.32, 432.38)","(877.8, 424.4)"
"(407.0, 428.0)","(878.0, 422.0)","(579.375244140625, -490.8166198730469, 298.67669677734375)","(405.41, 432.44)","(876.41, 423.99)"
"(405.0, 430.0)","(877.0, 422.0)","(578.839111328125, -490.7614440917969, 298.53662109375)","(407.1, 432.26)","(875.43, 423.88)"
"(407.0, 430.0)","(875.0, 422.0)","(578.969482421875, -490.2899169921875, 298.6094055175781)","(408.35, 432.24)","(873.63, 423.83)"
"(412.0, 430.0)","(872.0, 422.0)","(579.5892944335938, -489.3556213378906, 298.93927001953125)","(408.36, 432.15)","(872.37, 423.7)"
"(412.0, 430.0)","(870.0, 422.0)","(579.2919311523438, -489.11102294921875, 298.7896423339844)","(409.29, 432.08)","(871.56, 423.51)"
"(412.0, 431.0)","(869.0, 422.0)","(579.162109375, -488.9088439941406, 298.79254150390625)","(411.16, 431.91)","(870.24, 423.45)"
"(412.0, 428.0)","(868.0, 422.0)","(578.95703125, -489.0264587402344, 298.48455810546875)","(412.62, 431.77)","(868.35, 423.34)"
"(417.0, 430.0)","(867.0, 421.0)","(579.8908081054688, -488.2492370605469, 299.1591796875)","(414.26, 431.86)","(867.77, 423.59)"
"(417.0, 428.0)","(866.0, 421.0)","(579.7045288085938, -488.2866516113281, 298.9289245605469)","(415.06, 431.81)","(866.61, 423.4)"
"(418.0, 428.0)","(864.0, 421.0)","(579.61865234375, -487.9285583496094, 298.8893737792969)","(416.42, 431.68)","(864.97, 423.41)"
"(417.0, 428.0)","(863.0, 421.0)","(579.257568359375, -487.9200134277344, 298.7041015625)","(416.8, 431.65)","(863.54, 422.91)"
"(417.0, 428.0)","(861.0, 421.0)","(578.9595947265625, -487.6756286621094, 298.55426025390625)","(418.15, 431.58)","(862.17, 423.04)"
"(419.0, 431.0)","(860.0, 420.0)","(579.2720336914062, -487.1594543457031, 298.9734802246094)","(419.09, 431.43)","(861.04, 423.07)"
"(421.0, 427.0)","(859.0, 420.0)","(579.4733276367188, -487.12939453125, 298.8092041015625)","(420.79, 431.15)","(860.04, 423.23)"
"(423.0, 431.0)","(859.0, 423.0)","(580.0181274414062, -486.36236572265625, 299.2119140625)","(422.57, 431.39)","(859.27, 423.31)"
"(425.0, 430.0)","(857.0, 420.0)","(580.0740356445312, -486.1900634765625, 299.33050537109375)","(423.83, 431.32)","(858.15, 423.21)"
"(427.0, 428.0)","(856.0, 420.0)","(580.3111572265625, -485.9998779296875, 299.3206787109375)","(424.77, 431.29)","(856.52, 422.91)"
"(428.0, 427.0)","(855.0, 420.0)","(580.3546752929688, -485.8436584472656, 299.2779846191406)","(426.33, 431.32)","(855.44, 422.32)"
"(427.0, 426.0)","(854.0, 420.0)","(579.9758911132812, -485.9151916503906, 299.015625)","(427.44, 431.09)","(854.58, 422.27)"
"(429.0, 428.0)","(853.0, 420.0)","(580.2833251953125, -485.4053955078125, 299.31390380859375)","(428.72, 430.58)","(853.67, 422.4)"
"(431.0, 428.0)","(851.0, 420.0)","(580.4044799804688, -484.93304443359375, 299.38214111328125)","(430.16, 430.6)","(851.95, 422.3)"
"(431.0, 428.0)","(850.0, 420.0)","(580.2542114257812, -484.8107604980469, 299.3065185546875)","(431.44, 430.22)","(851.3, 422.5)"
"(434.0, 430.0)","(849.0, 420.0)","(580.769775390625, -484.1871337890625, 299.7127990722656)","(432.72, 428.75)","(849.92, 421.73)"
"(434.0, 428.0)","(848.0, 420.0)","(580.5848999023438, -484.22442626953125, 299.4837341308594)","(433.38, 428.75)","(848.44, 421.38)"
"(435.0, 428.0)","(847.0, 419.0)","(580.6288452148438, -484.0618591308594, 299.5599365234375)","(435.14, 430.06)","(847.69, 421.4)"
"(436.0, 428.0)","(845.0, 419.0)","(580.5376586914062, -483.703369140625, 299.5176696777344)","(437.45, 428.48)","(846.02, 421.31)"
"(436.0, 427.0)","(844.0, 419.0)","(580.3699951171875, -483.6609191894531, 299.3652648925781)","(438.96, 428.52)","(844.36, 421.21)"
"(440.0, 426.0)","(842.0, 419.0)","(580.891357421875, -483.0401611328125, 299.573974609375)","(439.72, 428.54)","(843.13, 420.74)"
"(440.0, 431.0)","(841.0, 418.0)","(580.8076782226562, -482.5928039550781, 299.9224548339844)","(440.92, 428.53)","(841.75, 420.35)"
"(441.0, 426.0)","(840.0, 418.0)","(580.7833862304688, -482.7554016113281, 299.5738525390625)","(441.85, 428.48)","(840.65, 420.38)"
"(445.0, 428.0)","(838.0, 418.0)","(581.3517456054688, -481.89483642578125, 300.0103454589844)","(443.45, 428.37)","(839.0, 420.3)"
"(445.0, 427.0)","(836.0, 418.0)","(581.0323486328125, -481.73004150390625, 299.7817077636719)","(446.71, 428.06)","(836.63, 420.14)"
"(445.0, 426.0)","(835.0, 418.0)","(580.8646850585938, -481.6876525878906, 299.6293640136719)","(447.33, 428.04)","(835.03, 419.74)"
"(445.0, 428.0)","(833.0, 418.0)","(580.5939331054688, -481.2834167480469, 299.6291198730469)","(448.45, 428.01)","(834.23, 419.44)"
"(449.0, 428.0)","(832.0, 418.0)","(581.2774047851562, -480.7044677734375, 299.98736572265625)","(449.61, 427.87)","(832.61, 418.84)"
"(453.0, 427.0)","(831.0, 417.0)","(581.9295654296875, -480.2793884277344, 300.31268310546875)","(450.99, 427.76)","(831.51, 418.85)"
"(452.0, 427.0)","(829.0, 417.0)","(581.41650390625, -480.1489562988281, 300.05096435546875)","(451.67, 427.74)","(830.19, 419.2)"
"(452.0, 423.0)","(828.0, 417.0)","(581.2017822265625, -480.34625244140625, 299.67108154296875)","(453.19, 427.33)","(828.8, 419.15)"
"(455.0, 426.0)","(827.0, 417.0)","(581.7215576171875, -479.64141845703125, 300.14739990234375)","(455.04, 427.4)","(827.08, 418.67)"
"(455.0, 427.0)","(825.0, 416.0)","(581.4174194335938, -479.3913879394531, 300.113037109375)","(457.02, 427.3)","(825.34, 418.42)"
"(458.0, 424.0)","(823.0, 416.0)","(581.6907348632812, -479.0433654785156, 300.0577087402344)","(459.34, 427.24)","(823.67, 418.1)"
"(458.0, 427.0)","(821.0, 416.0)","(581.4308471679688, -478.55938720703125, 300.1307067871094)","(460.27, 427.17)","(821.87, 418.23)"
"(462.0, 427.0)","(820.0, 416.0)","(582.1084594726562, -477.979736328125, 300.486083984375)","(462.76, 426.77)","(820.6, 417.94)"
"(467.0, 426.0)","(818.0, 416.0)","(582.8244018554688, -477.2428894042969, 300.7965393066406)","(464.75, 426.7)","(818.75, 417.79)"
"(466.0, 426.0)","(817.0, 416.0)","(582.4635620117188, -477.2349548339844, 300.6114196777344)","(465.88, 426.49)","(817.62, 417.07)"
"(468.0, 423.0)","(815.0, 416.0)","(582.5274047851562, -477.0006408691406, 300.4472961425781)","(466.67, 426.5)","(816.06, 416.62)"
"(470.0, 426.0)","(815.0, 415.0)","(582.9710693359375, -476.6072998046875, 300.9320983886719)","(467.91, 426.38)","(815.4, 416.67)"
"(469.0, 427.0)","(813.0, 415.0)","(582.4708251953125, -476.3974304199219, 300.7445373535156)","(468.76, 426.32)","(814.08, 416.75)"
"(469.0, 426.0)","(812.0, 415.0)","(582.3027954101562, -476.3547668457031, 300.5923156738281)","(470.32, 425.96)","(812.26, 416.55)"
"(470.0, 423.0)","(811.0, 415.0)","(582.31298828125, -476.357177734375, 300.397705078125)","(471.24, 425.91)","(811.33, 416.5)"
"(472.0, 426.0)","(810.0, 415.0)","(582.6150512695312, -475.7666015625, 300.7602844238281)","(472.69, 425.8)","(810.64, 416.5)"
"(473.0, 424.0)","(809.0, 414.0)","(582.6258544921875, -475.76409912109375, 300.6846923828125)","(473.97, 425.71)","(809.65, 416.24)"
"(473.0, 427.0)","(808.0, 414.0)","(582.5137939453125, -475.4027404785156, 300.8315734863281)","(475.16, 425.61)","(808.28, 416.05)"
"(474.0, 426.0)","(806.0, 414.0)","(582.3978881835938, -475.1232604980469, 300.709228515625)","(476.17, 425.57)","(807.57, 415.78)"
"(476.0, 423.0)","(805.0, 414.0)","(582.6146240234375, -475.01092529296875, 300.622314453125)","(478.16, 425.31)","(806.08, 415.62)"
"(479.0, 424.0)","(804.0, 414.0)","(583.0922241210938, -474.465087890625, 300.9413146972656)","(479.26, 425.21)","(804.3, 415.65)"
"(477.0, 424.0)","(803.0, 414.0)","(582.5258178710938, -474.5719909667969, 300.6491394042969)","(479.88, 425.13)","(803.39, 415.47)"
"(481.0, 426.0)","(801.0, 414.0)","(583.066650390625, -473.7095642089844, 301.0710754394531)","(481.31, 425.02)","(802.05, 415.35)"
"(483.0, 423.0)","(801.0, 414.0)","(583.4380493164062, -473.71917724609375, 301.0621032714844)","(482.35, 424.89)","(800.99, 415.39)"
"(481.0, 424.0)","(799.0, 413.0)","(582.71728515625, -473.6993713378906, 300.81103515625)","(483.24, 424.87)","(799.52, 414.86)"
"(482.0, 426.0)","(798.0, 413.0)","(582.7944946289062, -473.3031311035156, 300.9888000488281)","(483.86, 424.86)","(798.6, 414.72)"
"(485.0, 423.0)","(796.0, 413.0)","(583.0609741210938, -472.9533386230469, 300.930908203125)","(484.8, 424.77)","(797.35, 414.8)"
"(488.0, 424.0)","(796.0, 413.0)","(583.689697265625, -472.5295715332031, 301.32568359375)","(487.0, 424.37)","(796.07, 414.55)"
"(488.0, 419.0)","(794.0, 413.0)","(583.3145141601562, -472.6835632324219, 300.7984924316406)","(488.2, 424.32)","(795.04, 414.49)"
"(489.0, 423.0)","(793.0, 412.0)","(583.4028930664062, -472.20281982421875, 301.1685485839844)","(489.55, 424.14)","(793.99, 414.6)"
"(491.0, 421.0)","(792.0, 412.0)","(583.6317749023438, -472.0103454589844, 301.1556396484375)","(490.53, 424.12)","(792.16, 414.41)"
"(491.0, 423.0)","(791.0, 412.0)","(583.5015258789062, -471.72869873046875, 301.2254943847656)","(491.62, 423.96)","(791.49, 414.22)"
"(492.0, 421.0)","(790.0, 412.0)","(583.5254516601562, -471.65087890625, 301.10589599609375)","(492.59, 423.64)","(790.53, 413.92)"
"(493.0, 421.0)","(789.0, 412.0)","(583.5743408203125, -471.4137878417969, 301.13421630859375)","(494.61, 423.23)","(789.59, 413.87)"
"(496.0, 423.0)","(788.0, 412.0)","(584.0567626953125, -470.7876281738281, 301.5231018066406)","(495.29, 423.12)","(788.06, 413.63)"
"(496.0, 419.0)","(787.0, 413.0)","(583.8638305664062, -470.9083251953125, 301.1044616699219)","(496.47, 422.92)","(787.32, 413.6)"
"(496.0, 422.0)","(785.0, 412.0)","(583.576171875, -470.5002136230469, 301.2138977050781)","(497.71, 422.61)","(785.75, 413.36)"
"(500.0, 421.0)","(783.0, 411.0)","(584.0557861328125, -469.9512939453125, 301.4532775878906)","(499.22, 422.45)","(784.18, 413.06)"
"(500.0, 421.0)","(782.0, 411.0)","(583.8994140625, -469.8290100097656, 301.37469482421875)","(500.07, 421.21)","(783.03, 413.11)"
"(503.0, 419.0)","(781.0, 411.0)","(584.330810546875, -469.5211486816406, 301.4674072265625)","(502.3, 420.8)","(781.96, 413.09)"
"(501.0, 419.0)","(780.0, 411.0)","(583.7667846679688, -469.6288757324219, 301.1764831542969)","(503.59, 420.72)","(780.65, 413.07)"
"(502.0, 419.0)","(779.0, 411.0)","(583.81396484375, -469.3915710449219, 301.2039794921875)","(504.49, 420.6)","(779.35, 412.66)"
"(505.0, 421.0)","(778.0, 410.0)","(584.2794799804688, -468.8407287597656, 301.63543701171875)","(505.2, 420.49)","(778.39, 412.41)"
"(505.0, 419.0)","(777.0, 410.0)","(584.0995483398438, -468.8777770996094, 301.4097595214844)","(506.21, 420.34)","(777.24, 412.15)"
"(505.0, 417.0)","(775.0, 410.0)","(583.7630615234375, -468.79278564453125, 301.10540771484375)","(507.31, 420.19)","(775.88, 411.97)"
"(508.0, 422.0)","(774.0, 410.0)","(584.2725830078125, -467.92694091796875, 301.7106018066406)","(508.31, 420.01)","(774.84, 412.03)"
"(508.0, 421.0)","(773.0, 410.0)","(584.1041870117188, -467.8841552734375, 301.5584716796875)","(509.88, 419.51)","(773.39, 411.8)"
"(510.0, 419.0)","(772.0, 410.0)","(584.3305053710938, -467.6910095214844, 301.54461669921875)","(511.42, 419.43)","(771.89, 411.53)"
"(512.0, 417.0)","(771.0, 410.0)","(584.5568237304688, -467.4977722167969, 301.5306091308594)","(512.38, 419.32)","(770.91, 411.12)"
"(517.0, 417.0)","(770.0, 410.0)","(585.4135131835938, -466.7997131347656, 301.97979736328125)","(514.57, 418.9)","(770.09, 411.12)"
"(518.0, 417.0)","(768.0, 409.0)","(585.2891845703125, -466.51611328125, 301.9723205566406)","(517.14, 418.19)","(768.62, 411.07)"
"(517.0, 418.0)","(765.0, 410.0)","(584.6346435546875, -466.1083679199219, 301.6561584472656)","(517.94, 418.16)","(765.55, 411.3)"
"(520.0, 415.0)","(763.0, 409.0)","(584.8828125, -465.83349609375, 301.640625)","(520.18, 417.93)","(763.31, 410.36)"
"(521.0, 417.0)","(762.0, 409.0)","(584.947509765625, -465.43646240234375, 301.8120422363281)","(521.77, 417.76)","(762.43, 410.07)"
"(524.0, 415.0)","(761.0, 408.0)","(585.3638305664062, -465.2041320800781, 301.9485778808594)","(522.9, 417.55)","(761.5, 409.9)"
"(522.0, 413.0)","(759.0, 408.0)","(584.6231079101562, -465.3497619628906, 301.4337158203125)","(523.45, 417.51)","(759.78, 409.64)"
"(525.0, 418.0)","(759.0, 408.0)","(585.2789916992188, -464.6053466796875, 302.11236572265625)","(524.81, 417.31)","(759.17, 409.67)"
"(527.0, 413.0)","(757.0, 408.0)","(585.3151245117188, -464.5284423828125, 301.80035400390625)","(527.24, 416.76)","(757.47, 409.39)"
"(529.0, 415.0)","(755.0, 408.0)","(585.4202880859375, -463.89361572265625, 301.9959716796875)","(528.76, 416.51)","(755.23, 409.11)"
"(530.0, 417.0)","(754.0, 408.0)","(585.4818725585938, -463.4967346191406, 302.1656188964844)","(529.4, 416.33)","(754.41, 410.66)"
"(529.0, 414.0)","(755.0, 408.0)","(585.4105224609375, -463.9732666015625, 301.92352294921875)","(529.39, 416.48)","(754.35, 412.28)"
"(530.0, 415.0)","(756.0, 408.0)","(585.7806396484375, -463.90057373046875, 302.18072509765625)","(530.25, 416.17)","(755.84, 413.25)"
