Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(242.0, 427.0)","(1028.0, 430.0)","(564.03515625, -527.1015014648438, 289.88037109375)","(252.8, 430.65)","(1027.49, 431.9)"
"(253.0, 430.0)","(1026.0, 430.0)","(566.3900146484375, -525.4003295898438, 291.3179626464844)","(253.58, 431.06)","(1025.73, 432.13)"
"(244.0, 427.0)","(1026.0, 430.0)","(564.2286376953125, -526.6380615234375, 289.9855041503906)","(254.28, 431.04)","(1024.4, 431.91)"
"(252.0, 431.0)","(1024.0, 430.0)","(565.9251708984375, -525.1879272460938, 291.1507568359375)","(256.75, 431.02)","(1023.41, 431.78)"
"(255.0, 427.0)","(1022.0, 430.0)","(566.2156982421875, -524.9351806640625, 291.0270690917969)","(257.28, 431.25)","(1021.18, 432.35)"
"(253.0, 426.0)","(1022.0, 430.0)","(565.7256469726562, -525.2373657226562, 290.70257568359375)","(257.33, 431.35)","(1021.06, 432.03)"
"(254.0, 428.0)","(1021.0, 430.0)","(565.8848876953125, -524.8441162109375, 290.9273376464844)","(258.75, 431.28)","(1019.7, 432.33)"
"(257.0, 430.0)","(1021.0, 430.0)","(566.6348876953125, -524.350830078125, 291.4565734863281)","(257.64, 430.5)","(1019.4, 432.34)"
"(266.0, 430.0)","(1018.0, 430.0)","(568.2872314453125, -522.9896240234375, 292.32171630859375)","(266.79, 431.97)","(1014.64, 432.59)"
"(264.0, 431.0)","(1017.0, 430.0)","(567.7266845703125, -523.0093383789062, 292.1025085449219)","(266.99, 432.13)","(1011.56, 433.03)"
"(271.0, 430.0)","(1006.0, 435.0)","(567.9210815429688, -520.6351318359375, 291.91632080078125)","(263.15, 425.74)","(1008.61, 433.46)"
"(282.0, 426.0)","(992.0, 433.0)","(568.3346557617188, -518.167236328125, 291.9823913574219)","(283.38, 426.42)","(995.93, 432.1)"
"(302.0, 430.0)","(980.0, 429.0)","(571.2039184570312, -514.4300537109375, 293.9726867675781)","(297.44, 431.85)","(981.19, 433.12)"
"(302.0, 432.0)","(977.0, 429.0)","(570.8439331054688, -513.9039306640625, 293.9309387207031)","(300.43, 431.18)","(977.66, 432.98)"
"(305.0, 432.0)","(976.0, 429.0)","(571.3764038085938, -513.4472045898438, 294.2098693847656)","(301.67, 431.56)","(976.5, 433.14)"
"(307.0, 432.0)","(974.0, 429.0)","(571.5455322265625, -512.9800415039062, 294.3022766113281)","(303.88, 432.19)","(974.65, 433.2)"
"(307.0, 431.0)","(973.0, 429.0)","(571.3787841796875, -512.9384765625, 294.14886474609375)","(305.87, 432.1)","(973.41, 433.56)"
"(309.0, 430.0)","(971.0, 429.0)","(571.5195922851562, -512.551513671875, 294.15753173828125)","(306.55, 432.14)","(971.5, 433.46)"
"(309.0, 432.0)","(970.0, 429.0)","(571.4351196289062, -512.26904296875, 294.2540588378906)","(307.02, 431.99)","(970.84, 432.95)"
"(313.0, 432.0)","(969.0, 429.0)","(572.1876220703125, -511.7000427246094, 294.6473388671875)","(307.72, 432.14)","(969.64, 432.44)"
"(314.0, 434.0)","(968.0, 429.0)","(572.3247680664062, -511.3060302734375, 294.8588562011719)","(308.2, 431.88)","(968.26, 432.15)"
"(317.0, 435.0)","(962.0, 428.0)","(572.1564331054688, -510.2283935546875, 294.90313720703125)","(316.12, 434.27)","(962.8, 432.19)"
"(322.0, 432.0)","(959.0, 428.0)","(572.7661743164062, -509.5433044433594, 295.0202331542969)","(321.92, 432.75)","(959.39, 431.96)"
"(322.0, 434.0)","(958.0, 428.0)","(572.6781005859375, -509.2610168457031, 295.114501953125)","(323.15, 433.01)","(958.38, 431.94)"
"(323.0, 435.0)","(957.0, 428.0)","(572.7852783203125, -508.947021484375, 295.24127197265625)","(324.46, 435.04)","(956.64, 431.89)"
"(326.0, 434.0)","(955.0, 428.0)","(573.14208984375, -508.4471435546875, 295.3624572753906)","(325.77, 435.26)","(955.53, 431.9)"
"(324.0, 432.0)","(954.0, 428.0)","(572.50634765625, -508.70947265625, 294.8968505859375)","(326.25, 435.41)","(954.67, 431.83)"
"(328.0, 436.0)","(953.0, 428.0)","(573.3539428710938, -507.8189392089844, 295.6145324707031)","(328.97, 436.15)","(954.05, 431.97)"
"(333.0, 435.0)","(952.0, 428.0)","(574.2923583984375, -507.21661376953125, 296.0357360839844)","(330.42, 436.24)","(953.02, 431.88)"
"(330.0, 435.0)","(950.0, 428.0)","(573.3463134765625, -507.30865478515625, 295.5487365722656)","(331.94, 436.35)","(951.52, 431.91)"
"(331.0, 435.0)","(949.0, 428.0)","(573.4256591796875, -507.074462890625, 295.5922546386719)","(332.37, 436.36)","(949.97, 432.05)"
"(332.0, 435.0)","(948.0, 428.0)","(573.5047607421875, -506.8402404785156, 295.6356506347656)","(333.02, 436.39)","(948.06, 431.9)"
"(331.0, 435.0)","(946.0, 428.0)","(573.001220703125, -506.70831298828125, 295.3785400390625)","(333.6, 436.6)","(947.17, 431.76)"
"(336.0, 436.0)","(945.0, 428.0)","(573.9863891601562, -505.9454345703125, 295.9613342285156)","(335.43, 437.58)","(945.97, 431.7)"
"(335.0, 435.0)","(944.0, 428.0)","(573.5991821289062, -506.0155334472656, 295.69384765625)","(336.51, 437.85)","(944.79, 431.52)"
"(337.0, 435.0)","(942.0, 428.0)","(573.7554931640625, -505.5469055175781, 295.7796630859375)","(338.94, 437.97)","(942.19, 431.22)"
"(338.0, 436.0)","(941.0, 428.0)","(573.858154296875, -505.2325744628906, 295.9037780761719)","(339.92, 437.87)","(940.94, 431.36)"
"(340.0, 436.0)","(939.0, 428.0)","(574.01318359375, -504.76385498046875, 295.9889221191406)","(342.03, 438.85)","(939.4, 431.4)"
"(340.0, 436.0)","(937.0, 428.0)","(573.728515625, -504.5196533203125, 295.8455505371094)","(343.12, 438.96)","(937.93, 431.37)"
