Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(234.0, 434.0)","(1040.0, 441.0)","(564.3031616210938, -528.1383666992188, 289.9527587890625)","(242.3, 429.19)","(1041.52, 436.79)"
"(235.0, 434.0)","(1041.0, 439.0)","(564.6141357421875, -528.2831420898438, 290.2083435058594)","(243.66, 428.81)","(1041.42, 434.39)"
"(240.0, 428.0)","(1040.0, 439.0)","(565.4339599609375, -528.0917358398438, 290.2176818847656)","(245.15, 429.72)","(1039.4, 433.83)"
"(236.0, 434.0)","(1038.0, 439.0)","(564.4464111328125, -527.8087768554688, 290.1277160644531)","(246.99, 430.03)","(1038.32, 433.46)"
"(240.0, 428.0)","(1037.0, 443.0)","(565.1390380859375, -527.4591064453125, 289.8788146972656)","(248.81, 430.33)","(1035.86, 437.63)"
"(240.0, 432.0)","(1032.0, 440.0)","(564.528564453125, -526.7320556640625, 289.9958801269531)","(250.2, 430.42)","(1034.75, 439.44)"
"(244.0, 430.0)","(1035.0, 438.0)","(565.7304077148438, -526.9490966796875, 290.5700988769531)","(252.45, 430.66)","(1029.28, 440.82)"
"(241.0, 430.0)","(1034.0, 440.0)","(564.9585571289062, -527.0250244140625, 290.0755310058594)","(254.81, 430.89)","(1027.38, 441.41)"
"(248.0, 430.0)","(1028.0, 443.0)","(565.842041015625, -525.3192138671875, 290.4017639160156)","(256.12, 430.81)","(1026.65, 441.34)"
"(250.0, 431.0)","(1028.0, 443.0)","(566.3328857421875, -525.0172729492188, 290.7256774902344)","(257.94, 430.66)","(1024.87, 441.5)"
"(252.0, 431.0)","(1024.0, 440.0)","(566.1779174804688, -524.5122680664062, 290.7992248535156)","(259.14, 431.0)","(1023.65, 441.75)"
"(253.0, 431.0)","(1026.0, 440.0)","(566.6754760742188, -524.6445922851562, 291.0529479980469)","(259.33, 431.14)","(1022.54, 441.77)"
"(254.0, 432.0)","(1024.0, 443.0)","(566.743408203125, -524.0072631835938, 291.0163879394531)","(259.81, 431.4)","(1020.32, 442.26)"
"(256.0, 432.0)","(1024.0, 443.0)","(567.2008666992188, -523.7855834960938, 291.2535095214844)","(261.62, 431.44)","(1019.67, 442.22)"
"(257.0, 432.0)","(1022.0, 443.0)","(567.1597900390625, -523.4313354492188, 291.2364807128906)","(263.44, 431.58)","(1017.8, 442.5)"
"(258.0, 431.0)","(1018.0, 441.0)","(566.7667236328125, -523.0496215820312, 291.069091796875)","(264.91, 431.82)","(1016.71, 442.65)"
"(259.0, 431.0)","(1016.0, 441.0)","(566.7249145507812, -522.6953125, 291.0517272949219)","(266.34, 431.77)","(1015.83, 442.84)"
"(256.0, 431.0)","(1018.0, 441.0)","(566.3103637695312, -523.271484375, 290.8324279785156)","(267.84, 432.27)","(1014.82, 442.96)"
"(262.0, 430.0)","(1012.0, 444.0)","(566.9110717773438, -521.7515869140625, 290.9417724609375)","(268.77, 432.44)","(1013.5, 443.14)"
"(262.0, 430.0)","(1010.0, 443.0)","(566.6158447265625, -521.5762939453125, 290.8416748046875)","(269.94, 432.38)","(1011.6, 443.4)"
"(262.0, 431.0)","(1010.0, 444.0)","(566.671630859375, -521.427734375, 290.8911437988281)","(271.22, 432.34)","(1010.77, 443.6)"
"(263.0, 431.0)","(1009.0, 445.0)","(566.7881469726562, -521.1265869140625, 290.9049072265625)","(272.67, 432.42)","(1009.81, 443.65)"
"(264.0, 430.0)","(1009.0, 445.0)","(566.9843139648438, -521.0957641601562, 290.9375)","(274.03, 432.27)","(1008.82, 443.58)"
"(265.0, 430.0)","(1010.0, 443.0)","(567.2975463867188, -521.2427978515625, 291.195068359375)","(274.92, 432.39)","(1007.76, 443.78)"
"(266.0, 430.0)","(1006.0, 445.0)","(567.0316162109375, -520.5079956054688, 290.96844482421875)","(275.98, 432.58)","(1007.19, 443.78)"
"(270.0, 433.0)","(1002.0, 445.0)","(567.4855346679688, -519.3344116210938, 291.41912841796875)","(277.14, 432.88)","(1006.47, 443.77)"
"(270.0, 433.0)","(1000.0, 443.0)","(567.1646118164062, -519.2276611328125, 291.3547668457031)","(278.21, 433.06)","(1004.65, 443.75)"
"(272.0, 433.0)","(1003.0, 445.0)","(568.0742797851562, -519.2337036132812, 291.72216796875)","(278.76, 433.0)","(1003.13, 444.09)"
"(274.0, 434.0)","(1000.0, 444.0)","(568.1229858398438, -518.6336059570312, 291.8715515136719)","(280.28, 432.83)","(1001.14, 444.37)"
"(274.0, 434.0)","(996.0, 441.0)","(567.504638671875, -518.3519287109375, 291.7062683105469)","(281.98, 433.01)","(1000.06, 444.48)"
"(273.0, 430.0)","(997.0, 443.0)","(567.3438110351562, -518.7694702148438, 291.2471618652344)","(284.76, 432.83)","(998.8, 444.69)"
"(282.0, 432.0)","(996.0, 443.0)","(569.298095703125, -517.4840698242188, 292.4003601074219)","(285.68, 432.88)","(997.4, 445.24)"
"(278.0, 430.0)","(1000.0, 443.0)","(568.8831176757812, -518.5780639648438, 292.03863525390625)","(287.12, 432.95)","(995.76, 445.33)"
"(280.0, 430.0)","(995.0, 443.0)","(568.6506958007812, -517.7456665039062, 291.928955078125)","(287.82, 432.84)","(995.04, 445.32)"
"(280.0, 430.0)","(993.0, 443.0)","(568.3767700195312, -517.5018310546875, 291.79132080078125)","(288.3, 432.71)","(993.42, 445.46)"
"(282.0, 430.0)","(995.0, 444.0)","(569.1257934570312, -517.4539184570312, 292.126220703125)","(287.13, 433.51)","(992.0, 445.35)"
"(282.0, 430.0)","(992.0, 447.0)","(568.785888671875, -516.8812866210938, 291.8094482421875)","(289.84, 433.68)","(990.69, 445.1)"
"(284.0, 430.0)","(991.0, 444.0)","(569.0274658203125, -516.7429809570312, 292.08392333984375)","(292.66, 433.26)","(990.31, 444.69)"
"(286.0, 430.0)","(989.0, 445.0)","(569.2263793945312, -516.2068481445312, 292.14227294921875)","(295.19, 432.87)","(989.25, 444.54)"
"(286.0, 435.0)","(988.0, 445.0)","(569.23388671875, -515.6835327148438, 292.49200439453125)","(295.8, 434.54)","(988.09, 444.62)"
"(286.0, 431.0)","(990.0, 441.0)","(569.29833984375, -516.5244140625, 292.4425354003906)","(297.21, 434.55)","(987.3, 444.43)"
"(287.0, 430.0)","(986.0, 444.0)","(569.014892578125, -515.79833984375, 292.0882263183594)","(297.86, 434.4)","(987.09, 444.07)"
"(287.0, 431.0)","(987.0, 443.0)","(569.1578369140625, -515.908935546875, 292.278076171875)","(299.19, 434.36)","(985.67, 445.5)"
"(298.0, 434.0)","(984.0, 447.0)","(571.3910522460938, -513.7971801757812, 293.45068359375)","(300.88, 433.88)","(983.41, 445.19)"
"(298.0, 435.0)","(979.0, 445.0)","(570.6780395507812, -513.2445068359375, 293.2591857910156)","(302.87, 433.32)","(980.31, 445.54)"
"(299.0, 435.0)","(975.0, 445.0)","(570.345703125, -512.6439819335938, 293.0953063964844)","(303.71, 433.34)","(980.25, 445.26)"
"(299.0, 434.0)","(978.0, 447.0)","(570.7808837890625, -512.9518432617188, 293.1470642089844)","(305.03, 433.55)","(979.98, 444.73)"
"(304.0, 436.0)","(975.0, 448.0)","(571.5578002929688, -511.79620361328125, 293.6429443359375)","(310.05, 433.74)","(978.91, 444.73)"
"(363.0, 434.0)","(919.0, 443.0)","(576.4232177734375, -498.8209228515625, 296.3962707519531)","(361.74, 434.4)","(919.28, 440.99)"
"(363.0, 432.0)","(915.0, 443.0)","(575.798583984375, -498.49053955078125, 295.9456481933594)","(362.25, 433.86)","(908.34, 443.88)"
"(364.0, 435.0)","(914.0, 443.0)","(575.9383544921875, -498.015380859375, 296.2235412597656)","(362.16, 433.93)","(907.74, 444.08)"
"(362.0, 436.0)","(899.0, 446.0)","(573.4156494140625, -496.10919189453125, 294.8643493652344)","(363.83, 433.83)","(897.18, 446.73)"
"(364.0, 431.0)","(898.0, 446.0)","(573.591552734375, -496.1607971191406, 294.62060546875)","(363.75, 433.82)","(895.9, 446.62)"
"(370.0, 434.0)","(894.0, 446.0)","(574.3649291992188, -494.750732421875, 295.2322692871094)","(364.24, 433.68)","(893.01, 446.41)"
"(363.0, 439.0)","(875.0, 448.0)","(570.2601318359375, -492.676025390625, 293.37994384765625)","(452.58, 435.2)","(873.52, 446.99)"
"(437.0, 430.0)","(849.0, 450.0)","(581.8782348632812, -481.62872314453125, 298.748779296875)","(437.59, 428.24)","(848.28, 448.64)"
"(437.0, 428.0)","(847.0, 450.0)","(581.5408325195312, -481.5416259765625, 298.445068359375)","(438.96, 428.37)","(846.05, 448.57)"
"(442.0, 428.0)","(846.0, 450.0)","(582.43603515625, -480.8471984863281, 298.9106750488281)","(440.41, 428.34)","(844.65, 448.51)"
"(444.0, 424.0)","(845.0, 450.0)","(582.63623046875, -480.8136291503906, 298.7491760253906)","(441.25, 428.37)","(843.58, 448.82)"
"(443.0, 427.0)","(843.0, 450.0)","(582.1716918945312, -480.4431457519531, 298.7138977050781)","(442.11, 428.38)","(842.36, 448.9)"
"(441.0, 426.0)","(842.0, 451.0)","(581.6004028320312, -480.55401611328125, 298.302001953125)","(443.24, 428.3)","(840.48, 449.2)"
"(444.0, 427.0)","(840.0, 449.0)","(581.9078979492188, -480.0340270996094, 298.6359558105469)","(446.27, 428.0)","(839.86, 449.01)"
"(449.0, 424.0)","(838.0, 450.0)","(582.6134033203125, -479.3800354003906, 298.7535705566406)","(447.22, 427.96)","(837.75, 448.97)"
"(454.0, 428.0)","(838.0, 451.0)","(583.7354736328125, -478.41552734375, 299.5492248535156)","(448.2, 427.81)","(836.73, 448.95)"
"(452.0, 426.0)","(837.0, 451.0)","(583.1333618164062, -478.679931640625, 299.10662841796875)","(448.93, 427.92)","(835.26, 449.46)"
"(449.0, 423.0)","(836.0, 451.0)","(582.3070678710938, -479.1390380859375, 298.4811706542969)","(449.67, 427.92)","(834.77, 449.2)"
"(451.0, 426.0)","(835.0, 451.0)","(582.6185302734375, -478.54815673828125, 298.84478759765625)","(450.91, 427.79)","(834.36, 449.03)"
"(453.0, 426.0)","(835.0, 451.0)","(583.03515625, -478.31915283203125, 299.06036376953125)","(453.02, 427.17)","(833.9, 448.88)"
"(456.0, 426.0)","(835.0, 451.0)","(583.6599731445312, -477.9757080078125, 299.3836669921875)","(454.27, 427.16)","(832.5, 449.22)"
"(456.0, 424.0)","(834.0, 451.0)","(583.4751586914062, -478.011474609375, 299.1569519042969)","(455.7, 427.0)","(829.98, 449.41)"
"(453.0, 428.0)","(829.0, 450.0)","(582.1310424804688, -477.49627685546875, 298.791259765625)","(457.09, 426.9)","(828.18, 450.08)"
"(453.0, 426.0)","(829.0, 451.0)","(582.1151123046875, -477.5804443359375, 298.5980224609375)","(458.78, 427.05)","(827.1, 450.75)"
"(455.0, 424.0)","(827.0, 451.0)","(582.1927490234375, -477.2642822265625, 298.5096130371094)","(460.02, 427.0)","(825.43, 450.64)"
"(458.0, 427.0)","(825.0, 452.0)","(582.5678100585938, -476.3607177734375, 298.8558654785156)","(461.93, 426.54)","(824.09, 450.7)"
"(465.0, 426.0)","(824.0, 452.0)","(583.848388671875, -475.5144958496094, 299.4541931152344)","(462.93, 426.54)","(823.09, 450.9)"
"(461.0, 428.0)","(823.0, 452.0)","(582.895751953125, -475.6911315917969, 299.096435546875)","(464.31, 426.62)","(822.21, 451.19)"
"(463.0, 427.0)","(822.0, 452.0)","(583.140380859375, -475.41802978515625, 299.1588439941406)","(465.42, 426.52)","(820.8, 451.47)"
"(465.0, 427.0)","(820.0, 452.0)","(583.2448120117188, -474.9422607421875, 299.2174072265625)","(466.5, 426.42)","(819.86, 451.18)"
"(464.0, 424.0)","(819.0, 452.0)","(582.8399047851562, -475.17205810546875, 298.8110046386719)","(467.36, 426.46)","(818.1, 452.04)"
"(465.0, 424.0)","(818.0, 452.0)","(582.89208984375, -474.93414306640625, 298.8403015136719)","(468.33, 426.58)","(816.49, 451.81)"
"(467.0, 426.0)","(817.0, 452.0)","(583.1793212890625, -474.422607421875, 299.1239929199219)","(469.89, 426.2)","(815.5, 451.85)"
"(471.0, 426.0)","(815.0, 452.0)","(583.6942749023438, -473.7171325683594, 299.39495849609375)","(471.4, 426.21)","(814.39, 452.29)"
"(470.0, 424.0)","(814.0, 452.0)","(583.3048095703125, -473.86749267578125, 299.0630798339844)","(472.36, 426.15)","(813.64, 452.19)"
"(473.0, 426.0)","(813.0, 452.0)","(583.7958374023438, -473.24114990234375, 299.45208740234375)","(473.33, 426.11)","(812.18, 452.54)"
"(474.0, 427.0)","(812.0, 452.0)","(583.8602294921875, -472.9238586425781, 299.553955078125)","(474.52, 426.04)","(811.0, 453.02)"
"(471.0, 426.0)","(811.0, 453.0)","(583.0878295898438, -473.1488952636719, 299.0381164550781)","(475.91, 425.92)","(809.96, 453.16)"
"(476.0, 426.0)","(810.0, 453.0)","(583.9603881835938, -472.45147705078125, 299.49169921875)","(477.26, 425.61)","(808.67, 453.0)"
"(477.0, 424.0)","(809.0, 453.0)","(583.9827270507812, -472.37188720703125, 299.3730773925781)","(478.67, 425.63)","(807.02, 453.3)"
"(481.0, 424.0)","(807.0, 453.0)","(584.4925537109375, -471.6656799316406, 299.641357421875)","(479.85, 425.68)","(806.1, 453.45)"
"(480.0, 426.0)","(806.0, 453.0)","(584.1582641601562, -471.4988708496094, 299.6031799316406)","(481.16, 425.6)","(805.18, 453.55)"
"(483.0, 424.0)","(804.0, 453.0)","(584.434326171875, -471.0659484863281, 299.6181945800781)","(481.98, 425.44)","(803.96, 453.59)"
"(481.0, 426.0)","(804.0, 453.0)","(584.0510864257812, -471.13739013671875, 299.5523376464844)","(483.59, 425.46)","(803.16, 453.65)"
"(485.0, 423.0)","(802.0, 454.0)","(584.531494140625, -470.5928955078125, 299.554443359375)","(485.31, 425.2)","(801.43, 454.11)"
"(485.0, 424.0)","(800.0, 454.0)","(584.231689453125, -470.2669982910156, 299.47015380859375)","(486.86, 425.06)","(799.73, 453.99)"
"(488.0, 424.0)","(799.0, 454.0)","(584.6883544921875, -469.7986145019531, 299.7086181640625)","(487.63, 425.04)","(798.25, 454.22)"
"(487.0, 424.0)","(798.0, 454.0)","(584.3273315429688, -469.7903137207031, 299.52423095703125)","(489.17, 425.02)","(796.99, 454.29)"
"(487.0, 426.0)","(797.0, 454.0)","(584.1962890625, -469.5086669921875, 299.5908203125)","(490.39, 424.83)","(795.85, 454.35)"
"(490.0, 423.0)","(795.0, 454.0)","(584.4566650390625, -469.15435791015625, 299.5319519042969)","(492.03, 424.97)","(793.9, 455.03)"
"(491.0, 424.0)","(793.0, 455.0)","(584.3719482421875, -468.6372985839844, 299.5062561035156)","(494.41, 424.69)","(792.2, 455.11)"
"(494.0, 426.0)","(791.0, 455.0)","(584.6928100585938, -467.8870849609375, 299.8085632324219)","(495.2, 424.62)","(790.43, 455.04)"
"(495.0, 422.0)","(790.0, 455.0)","(584.6898803710938, -467.96502685546875, 299.5455627441406)","(496.69, 424.43)","(788.46, 455.13)"
"(494.0, 426.0)","(788.0, 455.0)","(584.2205810546875, -467.5169677734375, 299.5711669921875)","(498.06, 424.4)","(787.58, 455.2)"
"(495.0, 424.0)","(787.0, 455.0)","(584.241943359375, -467.43658447265625, 299.4527893066406)","(499.58, 424.36)","(786.28, 455.71)"
"(501.0, 422.0)","(786.0, 455.0)","(585.2786254882812, -466.7801818847656, 299.8592529296875)","(501.69, 424.0)","(784.68, 455.87)"
"(499.0, 423.0)","(784.0, 455.0)","(584.56884765625, -466.684814453125, 299.5628356933594)","(503.09, 423.9)","(783.36, 455.91)"
"(502.0, 423.0)","(782.0, 456.0)","(584.8731079101562, -466.0158996582031, 299.6720275878906)","(504.47, 423.74)","(780.76, 455.77)"
"(504.0, 423.0)","(780.0, 456.0)","(584.9614868164062, -465.5384826660156, 299.7223205566406)","(506.59, 423.6)","(779.01, 456.11)"
"(505.0, 424.0)","(779.0, 456.0)","(585.0167846679688, -465.22076416015625, 299.8189392089844)","(508.47, 423.24)","(778.0, 456.29)"
"(509.0, 422.0)","(777.0, 456.0)","(585.4852905273438, -464.6705627441406, 299.9342346191406)","(510.41, 422.82)","(776.29, 456.32)"
"(509.0, 419.0)","(776.0, 456.0)","(585.2931518554688, -464.78448486328125, 299.6398010253906)","(511.2, 422.76)","(775.37, 456.33)"
"(509.0, 423.0)","(775.0, 456.0)","(585.1788330078125, -464.34466552734375, 299.84619140625)","(512.31, 422.53)","(773.92, 456.32)"
"(512.0, 419.0)","(774.0, 456.0)","(585.5813598632812, -464.19134521484375, 299.79345703125)","(513.1, 422.29)","(772.67, 456.33)"
"(517.0, 422.0)","(773.0, 457.0)","(586.4744262695312, -463.1769104003906, 300.40179443359375)","(514.77, 421.21)","(771.0, 456.79)"
"(517.0, 421.0)","(771.0, 457.0)","(586.1444702148438, -463.0087585449219, 300.17022705078125)","(515.79, 422.15)","(769.41, 456.92)"
"(506.0, 424.0)","(770.0, 457.0)","(583.8037719726562, -463.9180603027344, 299.15966796875)","(516.87, 421.34)","(768.3, 456.88)"
"(506.0, 424.0)","(768.0, 457.0)","(583.48681640625, -463.6712951660156, 299.0003967285156)","(519.66, 420.56)","(767.51, 456.86)"
"(507.0, 424.0)","(768.0, 457.0)","(583.6878051757812, -463.5558776855469, 299.1042785644531)","(520.73, 420.45)","(766.74, 456.86)"
"(508.0, 424.0)","(766.0, 457.0)","(583.5713500976562, -463.1936340332031, 299.0486145019531)","(521.44, 420.39)","(765.25, 456.99)"
"(508.0, 424.0)","(765.0, 458.0)","(583.424072265625, -462.9933776855469, 298.921875)","(522.07, 420.31)","(763.4, 457.59)"
"(521.0, 423.0)","(763.0, 458.0)","(585.701416015625, -461.32403564453125, 300.0378112792969)","(523.4, 420.43)","(762.76, 457.63)"
"(525.0, 423.0)","(762.0, 458.0)","(586.342529296875, -460.7384338378906, 300.371337890625)","(524.38, 420.35)","(761.06, 457.62)"
"(526.0, 422.0)","(761.0, 458.0)","(586.3724365234375, -460.5780944824219, 300.3236389160156)","(526.69, 419.96)","(760.04, 457.73)"
"(526.0, 422.0)","(763.0, 458.0)","(586.6935424804688, -460.82525634765625, 300.4849853515625)","(528.44, 419.87)","(760.59, 458.74)"
"(529.0, 421.0)","(765.0, 458.0)","(587.6068725585938, -460.80462646484375, 300.8866882324219)","(528.54, 420.37)","(763.16, 459.61)"
"(529.0, 423.0)","(767.0, 458.0)","(587.948486328125, -460.89453125, 301.189697265625)","(528.56, 422.65)","(766.54, 458.18)"
"(527.0, 423.0)","(773.0, 458.0)","(588.511474609375, -461.8673400878906, 301.4668884277344)","(528.8, 424.22)","(760.1, 462.62)"
"(530.0, 426.0)","(765.0, 460.0)","(587.8779907226562, -460.1419982910156, 301.247314453125)","(527.8, 424.86)","(761.37, 462.32)"
"(527.0, 427.0)","(763.0, 461.0)","(586.9754028320312, -460.0853576660156, 300.7973327636719)","(527.81, 425.76)","(763.28, 461.3)"
"(516.0, 426.0)","(763.0, 462.0)","(584.7745361328125, -461.3569641113281, 299.5422058105469)","(524.83, 425.61)","(762.56, 460.11)"
"(525.0, 430.0)","(763.0, 462.0)","(586.6154174804688, -460.0038757324219, 300.7533264160156)","(521.35, 425.11)","(757.84, 460.17)"
"(521.0, 430.0)","(759.0, 458.0)","(585.13037109375, -460.2792663574219, 300.2086486816406)","(520.4, 425.35)","(757.58, 458.49)"
"(520.0, 431.0)","(760.0, 458.0)","(585.1007080078125, -460.43975830078125, 300.2562561035156)","(519.68, 424.81)","(758.83, 457.72)"
"(520.0, 431.0)","(767.0, 461.0)","(586.2559204101562, -461.0741271972656, 300.6777648925781)","(519.67, 425.11)","(759.91, 457.39)"
"(525.0, 431.0)","(762.0, 457.0)","(586.410400390625, -460.1871032714844, 300.9822082519531)","(519.1, 425.45)","(761.29, 457.38)"
"(513.0, 427.0)","(767.0, 453.0)","(584.7205200195312, -462.810546875, 300.0487976074219)","(517.32, 425.21)","(763.19, 457.28)"
"(512.0, 427.0)","(767.0, 456.0)","(584.5537109375, -462.6955261230469, 299.8034973144531)","(516.56, 425.25)","(764.45, 457.09)"
"(511.0, 424.0)","(770.0, 455.0)","(584.78662109375, -463.4945983886719, 299.77349853515625)","(513.82, 426.27)","(767.03, 457.22)"
"(512.0, 432.0)","(769.0, 457.0)","(584.9365844726562, -462.47247314453125, 300.2704772949219)","(512.85, 426.45)","(767.97, 457.23)"
"(507.0, 430.0)","(771.0, 455.0)","(584.205810546875, -463.6062316894531, 299.864013671875)","(511.14, 426.37)","(768.56, 457.1)"
"(508.0, 430.0)","(769.0, 453.0)","(584.0660400390625, -463.3974914550781, 299.9022216796875)","(508.12, 426.23)","(770.25, 457.17)"
"(505.0, 428.0)","(776.0, 456.0)","(584.5862426757812, -464.53485107421875, 299.86566162109375)","(502.99, 426.2)","(772.26, 456.72)"
"(501.0, 431.0)","(777.0, 457.0)","(583.9837036132812, -464.8063659667969, 299.6953430175781)","(500.18, 426.55)","(777.61, 456.43)"
"(502.0, 430.0)","(779.0, 456.0)","(584.4788818359375, -465.0932312011719, 299.9345397949219)","(501.08, 431.23)","(778.87, 456.58)"
"(497.0, 428.0)","(783.0, 455.0)","(584.0648193359375, -466.3966979980469, 299.63336181640625)","(501.3, 431.91)","(780.25, 456.15)"
"(501.0, 434.0)","(781.0, 456.0)","(584.6394653320312, -465.14068603515625, 300.27490234375)","(501.34, 432.48)","(780.27, 456.24)"
"(500.0, 435.0)","(784.0, 456.0)","(584.9241333007812, -465.5476989746094, 300.4811096191406)","(502.72, 433.24)","(781.01, 456.29)"
"(500.0, 435.0)","(787.0, 453.0)","(585.362548828125, -466.1466979980469, 300.8607177734375)","(504.06, 433.18)","(783.29, 456.38)"
"(500.0, 436.0)","(787.0, 453.0)","(585.374267578125, -466.0682067871094, 300.93231201171875)","(504.83, 433.23)","(785.17, 456.43)"
"(500.0, 436.0)","(790.0, 456.0)","(585.8866577148438, -466.21051025390625, 301.031494140625)","(504.89, 433.41)","(785.28, 456.37)"
"(502.0, 436.0)","(786.0, 456.0)","(585.6575317382812, -465.4864196777344, 300.92144775390625)","(502.98, 433.51)","(786.27, 456.29)"
"(497.0, 434.0)","(789.0, 455.0)","(585.0835571289062, -466.6648254394531, 300.54052734375)","(501.83, 433.62)","(787.37, 455.99)"
"(495.0, 435.0)","(791.0, 455.0)","(585.005615234375, -467.0631103515625, 300.5614929199219)","(502.06, 433.69)","(788.77, 455.94)"
"(496.0, 436.0)","(792.0, 457.0)","(585.4038696289062, -466.8411865234375, 300.7245788574219)","(499.81, 434.36)","(790.14, 455.84)"
"(494.0, 436.0)","(791.0, 452.0)","(584.77685546875, -467.327392578125, 300.667724609375)","(497.09, 436.22)","(792.01, 455.8)"
"(491.0, 438.0)","(791.0, 455.0)","(584.22998046875, -467.287109375, 300.3567810058594)","(495.44, 436.61)","(793.32, 455.85)"
"(495.0, 438.0)","(797.0, 453.0)","(585.9647827148438, -467.7206726074219, 301.3476257324219)","(493.86, 437.03)","(795.43, 455.38)"
"(491.0, 436.0)","(796.0, 455.0)","(584.9933471679688, -468.0614318847656, 300.610107421875)","(492.3, 437.5)","(796.06, 455.37)"
"(490.0, 435.0)","(795.0, 455.0)","(584.6199340820312, -468.13140869140625, 300.35357666015625)","(491.57, 437.51)","(797.06, 455.36)"
"(282.0, 432.0)","(976.0, 445.0)","(566.6029663085938, -514.9082641601562, 290.947998046875)","(303.07, 435.48)","(975.83, 442.79)"
"(292.0, 434.0)","(978.0, 444.0)","(569.146728515625, -513.9424438476562, 292.448486328125)","(302.86, 435.65)","(978.05, 442.24)"
"(282.0, 432.0)","(977.0, 438.0)","(566.5764770507812, -515.5144653320312, 291.2748107910156)","(300.99, 437.35)","(979.58, 442.5)"
"(282.0, 432.0)","(981.0, 443.0)","(567.2411499023438, -515.6555786132812, 291.36614990234375)","(298.56, 435.5)","(981.13, 443.48)"
"(297.0, 435.0)","(980.0, 443.0)","(570.546875, -513.6171875, 293.2879943847656)","(297.19, 437.04)","(982.15, 442.7)"
"(294.0, 435.0)","(984.0, 443.0)","(570.4295043945312, -514.4407348632812, 293.2187194824219)","(295.03, 437.27)","(983.3, 442.49)"
"(292.0, 436.0)","(985.0, 440.0)","(570.0778198242188, -514.9132690429688, 293.2508544921875)","(292.87, 436.26)","(986.87, 441.98)"
"(289.0, 434.0)","(984.0, 443.0)","(569.2799072265625, -515.078857421875, 292.5540771484375)","(291.92, 435.92)","(987.96, 441.58)"
"(290.0, 435.0)","(987.0, 441.0)","(569.9000244140625, -515.3914794921875, 293.0364074707031)","(292.04, 436.06)","(988.83, 441.58)"
"(287.0, 434.0)","(994.0, 439.0)","(570.1140747070312, -516.7979736328125, 293.1619567871094)","(291.46, 436.2)","(989.73, 441.66)"
"(285.0, 434.0)","(991.0, 443.0)","(569.3456420898438, -516.3792114257812, 292.5733337402344)","(291.07, 436.59)","(990.85, 441.81)"
"(283.0, 435.0)","(992.0, 440.0)","(568.990966796875, -516.8505249023438, 292.603515625)","(285.51, 434.83)","(993.73, 441.65)"
"(284.0, 434.0)","(993.0, 440.0)","(569.3243408203125, -516.9412841796875, 292.7053527832031)","(283.83, 433.98)","(994.39, 441.81)"
"(283.0, 432.0)","(996.0, 440.0)","(569.4520263671875, -517.5789184570312, 292.627197265625)","(283.52, 434.19)","(995.29, 441.76)"
"(283.0, 434.0)","(998.0, 444.0)","(569.8815307617188, -517.3876953125, 292.7872314453125)","(284.46, 434.79)","(996.38, 441.59)"
"(279.0, 434.0)","(996.0, 443.0)","(568.6804809570312, -517.65771484375, 292.2179870605469)","(284.7, 436.73)","(997.41, 441.72)"
"(282.0, 432.0)","(997.0, 443.0)","(569.4353637695312, -517.6060791015625, 292.4693908691406)","(284.11, 436.53)","(998.83, 442.03)"
