Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(220.0, 430.0)","(1062.0, 439.0)","(563.7667236328125, -532.801025390625, 289.4442443847656)","(223.85, 429.9)","(1055.31, 440.28)"
"(220.0, 429.0)","(1061.0, 439.0)","(563.6005859375, -532.760498046875, 289.2901916503906)","(224.49, 429.4)","(1053.96, 440.21)"
"(221.0, 428.0)","(1060.0, 439.0)","(563.66748046875, -532.60986328125, 289.25701904296875)","(225.43, 429.39)","(1053.17, 440.19)"
"(222.0, 431.0)","(1059.0, 444.0)","(564.00927734375, -531.80615234375, 289.40692138671875)","(226.8, 429.65)","(1052.67, 439.98)"
"(222.0, 432.0)","(1052.0, 438.0)","(562.9639282226562, -531.27685546875, 289.2370910644531)","(227.93, 428.64)","(1051.11, 440.29)"
"(225.0, 428.0)","(1050.0, 439.0)","(563.2855834960938, -530.9594116210938, 289.0810241699219)","(229.01, 429.0)","(1050.17, 440.17)"
"(226.0, 428.0)","(1051.0, 439.0)","(563.64892578125, -530.9700927734375, 289.267333984375)","(230.09, 429.03)","(1052.58, 438.53)"
"(226.0, 429.0)","(1053.0, 440.0)","(563.9732055664062, -531.0652465820312, 289.4532165527344)","(231.01, 429.23)","(1048.88, 439.98)"
"(228.0, 429.0)","(1048.0, 440.0)","(563.7786865234375, -530.2391357421875, 289.36322021484375)","(231.49, 429.57)","(1048.2, 439.82)"
"(232.0, 432.0)","(1044.0, 436.0)","(564.1729125976562, -529.3390502929688, 289.9778137207031)","(236.87, 429.74)","(1044.29, 438.01)"
"(232.0, 432.0)","(1047.0, 439.0)","(564.6485595703125, -529.5023193359375, 290.0740661621094)","(238.68, 429.03)","(1043.27, 437.8)"
"(233.0, 432.0)","(1048.0, 444.0)","(565.1444702148438, -529.179443359375, 290.08831787109375)","(239.88, 428.9)","(1043.08, 436.74)"
"(234.0, 434.0)","(1046.0, 444.0)","(565.1781005859375, -528.6658935546875, 290.2490539550781)","(240.93, 429.14)","(1042.76, 435.86)"
