Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(192.0, 431.0)","(1094.0, 444.0)","(561.5081787109375, -539.323974609375, 288.0357360839844)","(196.96, 426.4)","(1086.54, 439.97)","(561.437256,-538.515625,287.882538)"
"(196.0, 427.0)","(1093.0, 444.0)","(562.1758422851562, -539.0867309570312, 288.10272216796875)","(198.06, 426.0)","(1085.74, 439.92)","(561.577942,-538.334290,287.931488)"
"(196.0, 426.0)","(1083.0, 439.0)","(560.7144165039062, -538.2909545898438, 287.5330810546875)","(198.47, 426.0)","(1085.16, 439.73)","(561.594910,-538.232056,287.950592)"
"(196.0, 426.0)","(1083.0, 440.0)","(560.7424926757812, -538.2257080078125, 287.5004577636719)","(198.7, 426.07)","(1085.03, 439.62)","(561.632019,-538.192749,287.980286)"
"(198.0, 426.0)","(1081.0, 441.0)","(560.9854125976562, -537.7003784179688, 287.5836181640625)","(200.82, 426.12)","(1080.65, 440.47)","(561.594299,-537.373779,287.933807)"
"(198.0, 427.0)","(1077.0, 439.0)","(560.4527587890625, -537.2695922851562, 287.4811706542969)","(201.54, 426.19)","(1079.31, 440.48)","(561.594177,-537.127258,287.941162)"
"(200.0, 431.0)","(1083.0, 438.0)","(561.8154907226562, -537.515869140625, 288.503662109375)","(202.23, 426.36)","(1081.79, 440.23)","(562.075562,-537.352722,288.209137)"
"(202.0, 429.0)","(1082.0, 438.0)","(562.083740234375, -537.3368530273438, 288.50439453125)","(203.18, 426.38)","(1076.25, 440.71)","(561.598755,-536.548340,287.952789)"
"(201.0, 431.0)","(1076.0, 440.0)","(561.2042236328125, -536.4325561523438, 288.10675048828125)","(204.15, 425.79)","(1075.25, 440.61)","(561.673157,-536.375366,287.956909)"
"(203.0, 429.0)","(1078.0, 441.0)","(561.88671875, -536.5491943359375, 288.26861572265625)","(204.84, 425.86)","(1074.62, 440.54)","(561.754456,-536.222595,288.008728)"
"(202.0, 431.0)","(1074.0, 438.0)","(561.1253662109375, -536.2130126953125, 288.1651611328125)","(206.28, 425.95)","(1073.92, 440.52)","(562.004761,-535.974121,288.147400)"
"(203.0, 431.0)","(1083.0, 439.0)","(562.55029296875, -537.1218872070312, 288.83746337890625)","(208.01, 425.93)","(1072.99, 440.42)","(562.286926,-535.680054,288.299164)"
"(204.0, 425.0)","(1082.0, 438.0)","(562.4069213867188, -537.4390258789062, 288.390380859375)","(209.23, 425.98)","(1072.41, 440.32)","(562.497070,-535.478638,288.417725)"
"(206.0, 425.0)","(1082.0, 438.0)","(562.8783569335938, -537.2197875976562, 288.635009765625)","(210.86, 425.74)","(1073.42, 440.29)","(563.000916,-535.442627,288.661346)"
"(204.0, 432.0)","(1082.0, 444.0)","(562.8333129882812, -536.484619140625, 288.8184509277344)","(212.57, 425.08)","(1073.14, 439.89)","(563.330811,-535.300415,288.805695)"
"(210.0, 426.0)","(1073.0, 438.0)","(562.69091796875, -535.6160888671875, 288.6285400390625)","(213.42, 425.22)","(1072.38, 439.19)","(563.417236,-535.150146,288.895355)"
"(210.0, 425.0)","(1066.0, 441.0)","(561.8292236328125, -534.6549072265625, 287.9845275878906)","(214.38, 425.49)","(1071.39, 437.57)","(563.478760,-535.010132,289.025513)"
"(206.0, 430.0)","(1070.0, 440.0)","(561.564697265625, -535.2406005859375, 288.2366943359375)","(215.84, 425.47)","(1070.79, 436.33)","(563.708252,-534.860596,289.203461)"
"(214.0, 426.0)","(1072.0, 440.0)","(563.5542602539062, -534.9244384765625, 288.9836120605469)","(216.69, 425.58)","(1070.34, 435.91)","(563.841309,-534.731750,289.301239)"
"(214.0, 426.0)","(1073.0, 439.0)","(563.6569213867188, -535.1109619140625, 289.08221435546875)","(217.03, 425.92)","(1070.37, 435.85)","(563.935425,-534.674622,289.376831)"
"(213.0, 429.0)","(1064.0, 441.0)","(562.4136352539062, -533.7611083984375, 288.5724792480469)","(219.36, 425.42)","(1063.81, 440.55)","(563.734253,-533.356018,289.028351)"
"(219.0, 426.0)","(1065.0, 439.0)","(563.7841796875, -533.5952758789062, 289.16619873046875)","(222.04, 425.86)","(1060.24, 441.2)","(563.925415,-532.550781,289.135254)"
"(220.0, 426.0)","(1064.0, 441.0)","(563.9413452148438, -533.2320556640625, 289.154541015625)","(224.08, 425.78)","(1058.68, 441.12)","(564.191101,-532.148987,289.274750)"
"(222.0, 426.0)","(1059.0, 443.0)","(563.8070678710938, -532.2744750976562, 289.0004577636719)","(224.63, 426.59)","(1057.96, 440.92)","(564.247620,-531.949341,289.371948)"
"(222.0, 426.0)","(1056.0, 441.0)","(563.3599853515625, -532.0443115234375, 288.87078857421875)","(225.45, 426.52)","(1057.49, 440.89)","(564.373474,-531.809753,289.434784)"
"(224.0, 426.0)","(1055.0, 444.0)","(563.7744750976562, -531.5033569335938, 288.94451904296875)","(227.06, 426.39)","(1057.27, 440.93)","(564.715820,-531.613525,289.601807)"
