Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(190.0, 436.0)","(1090.0, 440.0)","(560.5978393554688, -538.921630859375, 288.1128845214844)","(195.47, 438.38)","(1083.89, 439.43)","(561.176636,-537.434998,288.619781)"
"(190.0, 437.0)","(1089.0, 441.0)","(560.5358276367188, -538.656494140625, 288.1053771972656)","(196.11, 438.35)","(1083.53, 439.4)","(561.278992,-537.325928,288.673004)"
"(192.0, 437.0)","(1088.0, 440.0)","(560.8514404296875, -538.3824462890625, 288.3187255859375)","(196.59, 438.73)","(1082.96, 439.59)","(561.337891,-537.161987,288.722260)"
"(192.0, 437.0)","(1087.0, 439.0)","(560.6948852539062, -538.3272705078125, 288.2871398925781)","(197.2, 438.81)","(1082.31, 439.8)","(561.406494,-536.996826,288.754791)"
"(194.0, 436.0)","(1086.0, 439.0)","(561.0009765625, -538.0680541992188, 288.37799072265625)","(198.06, 438.63)","(1081.36, 439.69)","(561.476501,-536.809814,288.785767)"
"(195.0, 437.0)","(1085.0, 440.0)","(561.173583984375, -537.6932373046875, 288.4921875)","(198.84, 438.33)","(1080.83, 439.4)","(561.572327,-536.703430,288.829407)"
"(196.0, 436.0)","(1084.0, 438.0)","(561.1871948242188, -537.6737060546875, 288.5263977050781)","(200.08, 438.48)","(1080.28, 439.46)","(561.799988,-536.485474,288.956299)"
"(197.0, 438.0)","(1083.0, 438.0)","(561.3679809570312, -537.2839965820312, 288.762451171875)","(201.41, 438.92)","(1078.53, 439.27)","(561.896851,-536.106018,289.050018)"
"(197.0, 438.0)","(1082.0, 438.0)","(561.2391357421875, -537.16357421875, 288.69769287109375)","(202.69, 439.38)","(1076.77, 439.16)","(561.983093,-535.723999,289.135773)"
"(198.0, 438.0)","(1081.0, 440.0)","(561.4014282226562, -536.802978515625, 288.68865966796875)","(203.63, 439.43)","(1076.19, 438.93)","(562.123657,-535.562012,289.224426)"
"(199.0, 438.0)","(1081.0, 439.0)","(561.6085815429688, -536.7588500976562, 288.8438720703125)","(203.92, 438.98)","(1075.8, 438.95)","(562.125427,-535.517883,289.193726)"
"(202.0, 437.0)","(1079.0, 440.0)","(562.04638671875, -536.2037353515625, 288.9575500488281)","(204.79, 439.1)","(1074.72, 438.68)","(562.186157,-535.300293,289.248779)"
"(202.0, 438.0)","(1079.0, 439.0)","(562.0550537109375, -536.189208984375, 289.0797119140625)","(204.85, 438.84)","(1073.24, 438.44)","(561.992065,-535.151611,289.144409)"
"(201.0, 438.0)","(1080.0, 439.0)","(561.9495239257812, -536.4193115234375, 289.0228576660156)","(204.91, 438.59)","(1072.94, 438.18)","(561.950928,-535.145874,289.118683)"
"(202.0, 437.0)","(1075.0, 440.0)","(561.52880859375, -535.7213134765625, 288.69732666015625)","(205.45, 438.3)","(1071.45, 437.84)","(561.864197,-534.952271,289.072723)"
"(202.0, 437.0)","(1075.0, 439.0)","(561.5010986328125, -535.786865234375, 288.73065185546875)","(205.67, 438.14)","(1068.17, 437.14)","(561.464966,-534.591187,288.894623)"
"(205.0, 435.0)","(1073.0, 439.0)","(561.8727416992188, -535.376708984375, 288.7878112792969)","(205.97, 437.97)","(1067.94, 437.07)","(561.497192,-534.548706,288.903320)"
"(202.0, 437.0)","(1071.0, 439.0)","(560.9835815429688, -535.304443359375, 288.470458984375)","(206.08, 437.82)","(1066.73, 436.55)","(561.346252,-534.436890,288.841797)"
"(202.0, 437.0)","(1071.0, 438.0)","(560.9559326171875, -535.3701171875, 288.5037841796875)","(206.29, 437.75)","(1065.74, 436.48)","(561.262451,-534.304565,288.798828)"
"(202.0, 437.0)","(1069.0, 439.0)","(560.7247924804688, -535.063232421875, 288.34033203125)","(206.82, 437.41)","(1064.57, 436.53)","(561.223328,-534.129089,288.754852)"
"(204.0, 438.0)","(1068.0, 438.0)","(561.0712890625, -534.7086181640625, 288.6397705078125)","(207.09, 437.13)","(1063.05, 436.66)","(561.082581,-533.929932,288.659241)"
"(204.0, 438.0)","(1071.0, 442.0)","(561.5704956054688, -534.8078002929688, 288.70147705078125)","(207.03, 434.4)","(1061.17, 436.86)","(560.732849,-533.915527,288.281464)"
"(204.0, 438.0)","(1065.0, 438.0)","(560.6824340820312, -534.3467407226562, 288.4442138671875)","(208.96, 435.08)","(1059.67, 436.23)","(560.994690,-533.509216,288.498138)"
"(217.0, 440.0)","(1065.0, 437.0)","(563.7583618164062, -532.8252563476562, 290.2281494140625)","(209.42, 435.01)","(1058.49, 435.98)","(560.939148,-533.338318,288.478882)"
"(222.0, 442.0)","(1062.0, 437.0)","(564.5987548828125, -531.7538452148438, 290.80987548828125)","(208.38, 434.65)","(1056.83, 436.14)","(560.473206,-533.270813,288.207733)"
"(226.0, 440.0)","(1051.0, 437.0)","(564.0079345703125, -530.1407470703125, 290.3865661621094)","(232.64, 441.82)","(1046.72, 435.23)","(564.992188,-528.863647,291.118225)"
"(228.0, 440.0)","(1049.0, 436.0)","(564.1802368164062, -529.7448120117188, 290.5283203125)","(234.37, 442.07)","(1043.96, 434.86)","(565.023682,-528.343018,291.175507)"
"(230.0, 439.0)","(1048.0, 437.0)","(564.5030517578125, -529.4166870117188, 290.5802001953125)","(237.05, 441.95)","(1042.61, 434.48)","(565.448303,-527.918945,291.408783)"
"(233.0, 440.0)","(1055.0, 436.0)","(566.1332397460938, -529.9226684570312, 291.52972412109375)","(239.37, 442.27)","(1040.75, 434.3)","(565.740967,-527.424072,291.595490)"
"(234.0, 440.0)","(1048.0, 435.0)","(565.4091186523438, -529.02978515625, 291.21661376953125)","(240.32, 443.62)","(1040.01, 434.25)","(565.904236,-527.125305,291.777893)"
