Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(306.0, 405.0)","(975.0, 442.0)","(571.0009765625, -514.4933471679688, 291.50872802734375)","(310.24, 403.97)","(971.92, 440.35)","(571.459045,-513.841064,291.762207)"
"(306.0, 405.0)","(971.0, 440.0)","(570.4025268554688, -514.1458740234375, 291.3057861328125)","(311.46, 403.94)","(970.94, 440.22)","(571.592896,-513.596130,291.838348)"
"(308.0, 405.0)","(971.0, 440.0)","(570.8507080078125, -513.9212036132812, 291.5380859375)","(312.3, 403.74)","(969.94, 440.03)","(571.632507,-513.409546,291.856720)"
"(308.0, 405.0)","(970.0, 441.0)","(570.7350463867188, -513.7296142578125, 291.4322204589844)","(313.18, 403.62)","(969.58, 440.27)","(571.781738,-513.259766,291.914978)"
"(310.0, 404.0)","(971.0, 441.0)","(571.2933959960938, -513.7081909179688, 291.6492919921875)","(315.38, 402.88)","(969.93, 440.85)","(572.315552,-513.074829,292.110931)"
"(311.0, 404.0)","(971.0, 442.0)","(571.5402221679688, -513.5259399414062, 291.7286376953125)","(316.35, 402.95)","(969.78, 441.56)","(572.529968,-512.892151,292.192810)"
"(312.0, 404.0)","(973.0, 442.0)","(572.0418701171875, -513.6571655273438, 291.98345947265625)","(316.85, 402.93)","(969.98, 442.11)","(572.681702,-512.823486,292.242767)"
"(312.0, 404.0)","(971.0, 442.0)","(571.7642822265625, -513.4135131835938, 291.8447570800781)","(317.8, 402.69)","(969.33, 442.19)","(572.799011,-512.651367,292.284607)"
"(314.0, 403.0)","(971.0, 442.0)","(572.1845092773438, -513.2702026367188, 291.99273681640625)","(318.53, 402.54)","(969.09, 442.26)","(572.926392,-512.547302,292.337372)"
"(316.0, 403.0)","(960.0, 438.0)","(571.0137329101562, -511.9859619140625, 291.6087646484375)","(319.9, 402.32)","(988.8, 439.63)","(575.919861,-515.000549,293.949860)"
"(320.0, 401.0)","(963.0, 434.0)","(572.1800537109375, -512.3444213867188, 292.259765625)","(321.03, 402.02)","(988.38, 439.79)","(576.111755,-514.835876,294.021545)"
"(318.0, 402.0)","(961.0, 436.0)","(571.5270385742188, -512.1043701171875, 291.8994445800781)","(322.9, 401.7)","(988.46, 440.06)","(576.542786,-514.643372,294.209106)"
"(319.0, 402.0)","(959.0, 436.0)","(571.4720458984375, -511.7485656738281, 291.87628173828125)","(324.53, 401.27)","(988.61, 440.3)","(576.925659,-514.497253,294.365265)"
"(322.0, 401.0)","(956.0, 436.0)","(571.69580078125, -511.12738037109375, 291.9305419921875)","(325.58, 401.21)","(988.21, 440.74)","(577.115417,-514.304993,294.438934)"
"(322.0, 401.0)","(965.0, 437.0)","(572.9724731445312, -512.152587890625, 292.52001953125)","(326.44, 401.08)","(963.89, 439.74)","(573.872925,-511.318939,292.862213)"
"(325.0, 401.0)","(953.0, 436.0)","(571.9450073242188, -510.4242858886719, 292.0678405761719)","(328.37, 400.88)","(961.46, 438.23)","(573.924805,-510.927734,292.955048)"
"(326.0, 401.0)","(953.0, 434.0)","(572.1237182617188, -510.4522705078125, 292.257568359375)","(329.76, 400.75)","(960.22, 437.98)","(574.052185,-510.648193,293.027496)"
"(326.0, 401.0)","(950.0, 439.0)","(571.8135986328125, -509.7350769042969, 291.86199951171875)","(330.71, 400.65)","(957.42, 437.9)","(573.866760,-510.213654,292.935730)"
