Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(282.0, 404.0)","(1010.0, 439.0)","(570.2661743164062, -521.7278442382812, 291.11309814453125)","(284.28, 406.86)","(1007.33, 440.48)","(570.547058,-520.814453,291.395294)"
"(282.0, 404.0)","(1010.0, 439.0)","(570.2661743164062, -521.7278442382812, 291.11309814453125)","(284.74, 406.89)","(1006.79, 440.56)","(570.581116,-520.689514,291.412506)"
"(283.0, 404.0)","(1009.0, 439.0)","(570.3584594726562, -521.4946899414062, 291.16351318359375)","(285.59, 406.13)","(1004.83, 440.33)","(570.478394,-520.433716,291.321991)"
"(284.0, 406.0)","(1008.0, 439.0)","(570.5121459960938, -521.0986938476562, 291.3863525390625)","(286.47, 406.28)","(1003.36, 440.84)","(570.494812,-520.109253,291.320160)"
"(284.0, 404.0)","(1005.0, 441.0)","(570.0904541015625, -520.7593383789062, 290.9386901855469)","(287.25, 405.98)","(1001.48, 440.87)","(570.407104,-519.815735,291.256927)"
"(286.0, 406.0)","(1003.0, 440.0)","(570.3099975585938, -520.198486328125, 291.24609375)","(288.19, 405.89)","(999.75, 440.84)","(570.380798,-519.509583,291.242828)"
"(286.0, 403.0)","(1003.0, 440.0)","(570.218505859375, -520.4429321289062, 290.98797607421875)","(289.59, 406.64)","(999.26, 440.76)","(570.652466,-519.237915,291.441284)"
"(288.0, 406.0)","(1002.0, 440.0)","(570.6282958984375, -519.8534545898438, 291.41363525390625)","(290.56, 406.63)","(997.49, 440.66)","(570.627563,-518.921753,291.436951)"
"(288.0, 403.0)","(1001.0, 440.0)","(570.4005737304688, -519.9761352539062, 291.0875549316406)","(291.35, 406.56)","(996.8, 440.57)","(570.707947,-518.761292,291.479828)"
"(288.0, 403.0)","(1000.0, 440.0)","(570.2640991210938, -519.8544921875, 291.01934814453125)","(292.07, 406.89)","(996.59, 440.53)","(570.851440,-518.631165,291.579742)"
"(290.0, 403.0)","(999.0, 440.0)","(570.5819091796875, -519.5092163085938, 291.1866760253906)","(293.03, 406.84)","(996.64, 440.65)","(571.077332,-518.525757,291.687408)"
"(290.0, 403.0)","(998.0, 440.0)","(570.4451904296875, -519.3875732421875, 291.118408203125)","(293.39, 403.89)","(995.79, 440.74)","(570.956299,-518.615967,291.415802)"
"(292.0, 403.0)","(998.0, 440.0)","(570.8994140625, -519.1640014648438, 291.3538513183594)","(294.53, 406.22)","(994.12, 441.02)","(571.061646,-518.076050,291.624359)"
"(292.0, 403.0)","(997.0, 438.0)","(570.7147216796875, -519.1801147460938, 291.35699462890625)","(295.37, 405.85)","(993.1, 441.08)","(571.102234,-517.883728,291.619141)"
"(294.0, 406.0)","(996.0, 438.0)","(571.1213989257812, -518.5904541015625, 291.781005859375)","(296.5, 406.36)","(992.65, 441.09)","(571.311584,-517.660339,291.763977)"
"(294.0, 402.0)","(996.0, 438.0)","(571.0017700195312, -518.9164428710938, 291.43817138671875)","(297.67, 406.22)","(991.94, 441.08)","(571.474243,-517.455017,291.840790)"
"(294.0, 402.0)","(991.0, 443.0)","(570.435302734375, -517.9627075195312, 290.91656494140625)","(298.68, 406.21)","(990.65, 441.13)","(571.525940,-517.182190,291.867706)"
"(296.0, 402.0)","(992.0, 440.0)","(570.9541625976562, -518.0678100585938, 291.3275451660156)","(299.36, 406.09)","(989.97, 441.22)","(571.584656,-517.026733,291.887115)"
"(297.0, 403.0)","(992.0, 440.0)","(571.2102661132812, -517.874267578125, 291.5304260253906)","(300.35, 406.51)","(989.23, 441.18)","(571.717712,-516.794312,291.989258)"
"(297.0, 402.0)","(987.0, 441.0)","(570.5177001953125, -517.2781372070312, 291.0660705566406)","(300.91, 404.96)","(988.32, 441.23)","(571.674683,-516.743408,291.858429)"
"(298.0, 402.0)","(986.0, 441.0)","(570.6062622070312, -517.04443359375, 291.11456298828125)","(302.09, 404.94)","(987.14, 441.18)","(571.776611,-516.472534,291.915283)"
"(299.0, 402.0)","(986.0, 443.0)","(570.8788452148438, -516.7935791015625, 291.1592102050781)","(302.86, 404.69)","(986.03, 441.28)","(571.792358,-516.264465,291.903961)"
"(302.0, 402.0)","(984.0, 441.0)","(571.2338256835938, -516.3524780273438, 291.44500732421875)","(304.65, 404.56)","(985.37, 441.11)","(572.097351,-516.005737,292.062805)"
"(302.0, 403.0)","(985.0, 440.0)","(571.3773193359375, -516.4619140625, 291.6351318359375)","(305.71, 404.2)","(983.87, 441.02)","(572.116516,-515.739685,292.055786)"
"(304.0, 402.0)","(981.0, 439.0)","(571.2247314453125, -515.90185546875, 291.5447692871094)","(307.05, 404.32)","(981.87, 440.71)","(572.138184,-515.357544,292.095551)"
