Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(299.0, 441.0)","(971.0, 434.0)","(569.7047729492188, -512.439697265625, 293.7258605957031)","(310.94, 444.04)","(968.92, 436.86)","(572.218689,-510.411194,295.101349)"
"(306.0, 443.0)","(969.0, 434.0)","(571.0390625, -511.25445556640625, 294.559814453125)","(311.33, 444.01)","(967.78, 436.62)","(572.139282,-510.247406,295.072357)"
"(300.0, 441.0)","(969.0, 434.0)","(569.649658203125, -512.0841064453125, 293.7015075683594)","(312.36, 444.23)","(966.93, 436.53)","(572.252625,-510.017120,295.152435)"
"(300.0, 441.0)","(968.0, 434.0)","(569.5107421875, -511.96221923828125, 293.6315002441406)","(313.09, 444.3)","(966.57, 436.35)","(572.362061,-509.898560,295.223694)"
"(304.0, 441.0)","(967.0, 434.0)","(570.2611083984375, -511.3934020996094, 294.023193359375)","(314.05, 444.48)","(965.42, 435.95)","(572.409424,-509.664246,295.282837)"
"(304.0, 441.0)","(966.0, 434.0)","(570.1217651367188, -511.2713623046875, 293.9529724121094)","(314.82, 444.53)","(964.82, 435.7)","(572.491760,-509.518372,295.342682)"
"(304.0, 441.0)","(965.0, 434.0)","(569.9824829101562, -511.1493835449219, 293.8827819824219)","(315.5, 444.84)","(963.99, 435.56)","(572.530884,-509.326019,295.392853)"
"(306.0, 441.0)","(965.0, 434.0)","(570.4266967773438, -510.9258728027344, 294.1134338378906)","(316.23, 445.13)","(962.86, 436.0)","(572.551086,-509.052460,295.403503)"
"(308.0, 442.0)","(964.0, 434.0)","(570.7579956054688, -510.50042724609375, 294.35595703125)","(316.6, 445.36)","(962.02, 436.48)","(572.531433,-508.856537,295.386749)"
"(308.0, 442.0)","(963.0, 434.0)","(570.6182250976562, -510.37835693359375, 294.2855224609375)","(317.15, 445.68)","(961.41, 436.44)","(572.574829,-508.697784,295.434326)"
"(308.0, 442.0)","(962.0, 434.0)","(570.478515625, -510.25640869140625, 294.215087890625)","(317.49, 445.85)","(960.75, 436.17)","(572.555603,-508.584473,295.450775)"
"(308.0, 442.0)","(962.0, 434.0)","(570.478515625, -510.25640869140625, 294.215087890625)","(389.77, 433.63)","(959.69, 435.98)","(588.114441,-501.346802,302.698578)"
"(308.0, 442.0)","(959.0, 434.0)","(570.0594482421875, -509.8903503417969, 294.0038146972656)","(389.87, 433.66)","(959.03, 435.82)","(588.036194,-501.263031,302.669678)"
"(308.0, 442.0)","(960.0, 434.0)","(570.1990966796875, -510.0123291015625, 294.07421875)","(389.82, 433.73)","(958.56, 435.75)","(587.955627,-501.209961,302.637299)"
"(312.0, 442.0)","(959.0, 434.0)","(570.945068359375, -509.4428405761719, 294.4636535644531)","(389.53, 433.78)","(957.74, 435.56)","(587.767090,-501.150757,302.554443)"
"(318.0, 444.0)","(958.0, 434.0)","(572.1849975585938, -508.4901428222656, 295.2460632324219)","(323.91, 447.35)","(957.63, 435.35)","(573.555908,-507.423157,296.119476)"
"(324.0, 447.0)","(956.0, 438.0)","(573.3936157226562, -507.0556335449219, 295.8819580078125)","(324.74, 447.38)","(956.88, 435.15)","(573.629517,-507.250214,296.171204)"
"(322.0, 444.0)","(957.0, 434.0)","(572.9286499023438, -507.9205322265625, 295.6343078613281)","(389.87, 433.71)","(955.47, 434.93)","(587.491516,-500.882477,302.443787)"
"(316.0, 443.0)","(956.0, 434.0)","(571.435302734375, -508.54925537109375, 294.7927551269531)","(325.62, 447.44)","(953.74, 435.7)","(573.392212,-506.724182,296.030945)"
"(315.0, 443.0)","(956.0, 434.0)","(571.2142333984375, -508.6611633300781, 294.6780090332031)","(389.82, 433.7)","(952.85, 435.44)","(587.102356,-500.529205,302.221161)"
