Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(163.0, 434.0)","(1118.0, 440.0)","(557.627197265625, -545.3761596679688, 286.3709411621094)","(165.15, 434.74)","(1114.14, 441.18)","(557.725952,-544.548279,286.427246)"
"(161.0, 435.0)","(1117.0, 440.0)","(557.063232421875, -545.3953247070312, 286.15093994140625)","(166.36, 434.79)","(1112.97, 441.17)","(557.870972,-544.273621,286.508972)"
"(165.0, 435.0)","(1116.0, 440.0)","(557.8975830078125, -544.8405151367188, 286.5860900878906)","(167.19, 434.84)","(1112.42, 441.23)","(558.004456,-544.109741,286.580109)"
"(167.0, 436.0)","(1115.0, 440.0)","(558.2916259765625, -544.423583984375, 286.86322021484375)","(167.67, 434.82)","(1111.66, 441.26)","(558.024170,-543.966553,286.589172)"
"(168.0, 438.0)","(1114.0, 440.0)","(558.4852294921875, -544.0357666015625, 287.10662841796875)","(168.1, 434.73)","(1110.63, 441.17)","(557.991760,-543.809814,286.572449)"
"(171.0, 435.0)","(1114.0, 440.0)","(559.0840454101562, -543.9485473632812, 287.20611572265625)","(168.61, 434.72)","(1108.94, 441.15)","(557.900818,-543.554749,286.529053)"
"(172.0, 438.0)","(1112.0, 439.0)","(559.160888671875, -543.425537109375, 287.5086669921875)","(169.6, 434.6)","(1107.92, 440.93)","(557.997925,-543.348694,286.583588)"
"(171.0, 436.0)","(1111.0, 439.0)","(558.7174682617188, -543.574951171875, 287.13983154296875)","(170.53, 434.75)","(1107.41, 440.91)","(558.161194,-543.175659,286.680847)"
"(171.0, 436.0)","(1110.0, 440.0)","(558.6212158203125, -543.3916625976562, 287.044921875)","(171.52, 434.82)","(1106.14, 440.76)","(558.236084,-542.919983,286.734406)"
"(173.0, 434.0)","(1109.0, 440.0)","(558.894287109375, -543.214111328125, 287.0478820800781)","(172.14, 434.9)","(1104.78, 440.74)","(558.215271,-542.684753,286.733063)"
"(173.0, 435.0)","(1108.0, 440.0)","(558.8078002929688, -543.0148315429688, 287.0755920410156)","(173.15, 435.08)","(1104.42, 440.72)","(558.416992,-542.518311,286.852112)"
"(175.0, 436.0)","(1107.0, 439.0)","(559.1687622070312, -542.6614379882812, 287.382568359375)","(175.81, 437.24)","(1103.08, 440.85)","(558.969055,-541.886475,287.287048)"
"(175.0, 436.0)","(1105.0, 439.0)","(558.9165649414062, -542.4225463867188, 287.2559509277344)","(177.73, 437.62)","(1101.4, 440.72)","(559.223999,-541.453857,287.455658)"
"(174.0, 438.0)","(1104.0, 439.0)","(558.6301879882812, -542.2523193359375, 287.25006103515625)","(179.31, 438.27)","(1100.18, 440.45)","(559.461975,-541.100647,287.640076)"
"(178.0, 438.0)","(1103.0, 439.0)","(559.4555053710938, -541.6961669921875, 287.68048095703125)","(180.04, 438.38)","(1099.58, 440.42)","(559.562500,-540.942200,287.702637)"
"(177.0, 435.0)","(1102.0, 439.0)","(558.9749755859375, -541.9256591796875, 287.2223205566406)","(180.76, 438.25)","(1098.17, 440.37)","(559.547974,-540.708313,287.691254)"
"(177.0, 435.0)","(1100.0, 439.0)","(558.7222290039062, -541.6864624023438, 287.0954284667969)","(182.12, 438.32)","(1096.68, 440.32)","(559.682312,-540.378723,287.771362)"
"(179.0, 436.0)","(1099.0, 439.0)","(559.1094360351562, -541.2682495117188, 287.36883544921875)","(183.13, 438.55)","(1095.67, 440.43)","(559.805054,-540.121765,287.848053)"
"(181.0, 435.0)","(1098.0, 439.0)","(559.4190673828125, -541.010009765625, 287.46136474609375)","(184.35, 438.83)","(1094.45, 440.39)","(559.948059,-539.822266,287.946259)"
"(181.0, 436.0)","(1097.0, 438.0)","(559.3018188476562, -540.8748168945312, 287.5201416015625)","(185.97, 439.01)","(1092.51, 440.1)","(560.082458,-539.416748,288.046417)"
"(181.0, 434.0)","(1095.0, 438.0)","(558.9713745117188, -540.7954711914062, 287.2123718261719)","(187.37, 439.23)","(1091.55, 439.95)","(560.294800,-539.140503,288.181122)"
"(182.0, 435.0)","(1093.0, 438.0)","(558.9928588867188, -540.3663940429688, 287.298095703125)","(188.8, 439.68)","(1089.52, 439.75)","(560.384216,-538.717346,288.272675)"
"(183.0, 438.0)","(1091.0, 438.0)","(559.0894165039062, -539.777099609375, 287.56298828125)","(190.89, 439.81)","(1088.09, 439.54)","(560.693115,-538.320129,288.455017)"
"(188.0, 440.0)","(1090.0, 438.0)","(560.2189331054688, -538.9505004882812, 288.2915344238281)","(192.99, 440.1)","(1087.03, 439.44)","(561.060242,-537.946228,288.672760)"
"(190.0, 438.0)","(1089.0, 438.0)","(560.4882202148438, -538.771484375, 288.29327392578125)","(194.28, 440.24)","(1084.66, 439.37)","(561.062683,-537.513306,288.692047)"
"(194.0, 441.0)","(1087.0, 438.0)","(561.2872924804688, -537.8541259765625, 288.9222717285156)","(195.43, 440.4)","(1083.75, 439.26)","(561.219177,-537.272339,288.791504)"
"(191.0, 440.0)","(1086.0, 438.0)","(560.41455078125, -538.1417236328125, 288.40130615234375)","(196.05, 440.48)","(1082.56, 439.15)","(561.211487,-537.061890,288.800812)"
"(197.0, 438.0)","(1086.0, 438.0)","(561.7543334960938, -537.6451416015625, 288.95672607421875)","(196.43, 440.68)","(1081.46, 439.1)","(561.165100,-536.875122,288.795349)"
"(198.0, 439.0)","(1084.0, 438.0)","(561.7691650390625, -537.215087890625, 289.0386047363281)","(197.79, 440.87)","(1079.87, 438.79)","(561.277832,-536.539673,288.885162)"
"(198.0, 439.0)","(1082.0, 437.0)","(561.4832153320312, -537.0394897460938, 288.9420166015625)","(199.1, 441.1)","(1078.62, 438.7)","(561.429871,-536.233093,288.987000)"
"(197.0, 438.0)","(1081.0, 437.0)","(561.082275390625, -537.1084594726562, 288.6659851074219)","(199.67, 441.09)","(1076.93, 438.88)","(561.349854,-535.955933,288.939575)"
"(198.0, 439.0)","(1080.0, 437.0)","(561.2252807617188, -536.7986450195312, 288.81231689453125)","(201.99, 441.48)","(1076.3, 438.8)","(561.824280,-535.599976,289.218140)"
"(198.0, 438.0)","(1078.0, 437.0)","(560.9307250976562, -536.6377563476562, 288.5935974121094)","(203.03, 441.62)","(1075.39, 438.82)","(561.955688,-535.363770,289.297028)"
"(200.0, 438.0)","(1078.0, 437.0)","(561.4005126953125, -536.4186401367188, 288.8374328613281)","(204.04, 441.93)","(1073.53, 438.78)","(561.960999,-535.006470,289.327057)"
"(202.0, 440.0)","(1076.0, 437.0)","(561.6840209960938, -535.7986450195312, 289.128662109375)","(205.02, 441.99)","(1071.91, 438.34)","(561.969910,-534.727478,289.360199)"
"(202.0, 440.0)","(1075.0, 437.0)","(561.5545654296875, -535.6780395507812, 289.06353759765625)","(207.01, 442.22)","(1071.33, 438.35)","(562.368408,-534.420288,289.583771)"
"(207.0, 440.0)","(1073.0, 437.0)","(562.4664306640625, -534.8887939453125, 289.541015625)","(208.4, 442.54)","(1069.91, 438.34)","(562.519531,-534.071411,289.687836)"
"(205.0, 443.0)","(1072.0, 437.0)","(561.9762573242188, -534.7479248046875, 289.4978942871094)","(208.51, 442.23)","(1068.61, 438.29)","(562.363342,-533.930237,289.590210)"
"(207.0, 441.0)","(1071.0, 437.0)","(562.2422485351562, -534.5675048828125, 289.4985656738281)","(211.58, 443.91)","(1068.14, 438.22)","(563.076477,-533.407532,290.081604)"
"(207.0, 441.0)","(1070.0, 436.0)","(562.0848388671875, -534.5125122070312, 289.46673583984375)","(212.22, 444.22)","(1066.46, 437.9)","(563.008301,-533.130493,290.086548)"
"(207.0, 439.0)","(1068.0, 436.0)","(561.7532348632812, -534.4308471679688, 289.15911865234375)","(211.59, 442.81)","(1065.12, 437.96)","(562.638123,-533.145935,289.796112)"
"(210.0, 444.0)","(1068.0, 436.0)","(562.6319580078125, -533.7027587890625, 289.96405029296875)","(212.33, 442.95)","(1064.17, 437.72)","(562.684753,-532.954529,289.843506)"
"(211.0, 440.0)","(1066.0, 436.0)","(562.4624633789062, -533.6705322265625, 289.601318359375)","(215.11, 444.59)","(1063.53, 437.69)","(563.305237,-532.443298,290.282318)"
"(210.0, 441.0)","(1066.0, 436.0)","(562.2646484375, -533.700439453125, 289.568359375)","(217.28, 444.67)","(1062.25, 437.7)","(563.645325,-532.043152,290.466492)"
"(212.0, 440.0)","(1064.0, 436.0)","(562.4347534179688, -533.319091796875, 289.591064453125)","(218.87, 445.09)","(1060.77, 437.65)","(563.833801,-531.659302,290.598877)"
"(206.0, 440.0)","(1063.0, 436.0)","(560.9060668945312, -533.8572387695312, 288.7994384765625)","(219.75, 445.41)","(1059.74, 437.43)","(563.908020,-531.427002,290.672272)"
"(217.0, 444.0)","(1062.0, 436.0)","(563.47802734375, -532.2092895507812, 290.4154357910156)","(220.63, 445.6)","(1058.5, 437.32)","(563.952759,-531.172302,290.716431)"
"(217.0, 445.0)","(1061.0, 436.0)","(563.3816528320312, -532.0086059570312, 290.4369201660156)","(221.23, 445.88)","(1057.23, 437.04)","(563.926819,-530.948730,290.738434)"
"(220.0, 445.0)","(1060.0, 436.0)","(563.9476318359375, -531.558349609375, 290.7327880859375)","(222.62, 446.04)","(1055.92, 436.96)","(564.079773,-530.629822,290.835419)"
"(219.0, 443.0)","(1058.0, 436.0)","(563.3829956054688, -531.5852661132812, 290.3045959472656)","(223.19, 446.21)","(1054.48, 437.19)","(564.033875,-530.363831,290.815094)"
"(222.0, 441.0)","(1057.0, 436.0)","(563.87890625, -531.2941284179688, 290.4249572753906)","(224.84, 446.65)","(1053.52, 437.27)","(564.306396,-530.025818,290.985138)"
"(220.0, 444.0)","(1056.0, 436.0)","(563.3867797851562, -531.1534423828125, 290.3801574707031)","(226.59, 446.9)","(1052.47, 437.17)","(564.578491,-529.692871,291.150574)"
"(225.0, 445.0)","(1054.0, 435.0)","(564.2901000976562, -530.3484497070312, 290.970947265625)","(227.92, 447.23)","(1050.52, 436.53)","(564.622131,-529.326416,291.230896)"
"(225.0, 444.0)","(1053.0, 435.0)","(564.1239013671875, -530.306884765625, 290.8171691894531)","(228.4, 447.24)","(1049.35, 436.52)","(564.577942,-529.131470,291.211456)"
"(227.0, 445.0)","(1052.0, 435.0)","(564.489013671875, -529.88623046875, 291.0782165527344)","(229.44, 447.57)","(1048.69, 436.47)","(564.740540,-528.914124,291.322449)"
"(228.0, 447.0)","(1051.0, 435.0)","(564.6558837890625, -529.4959106445312, 291.3056335449219)","(231.08, 447.85)","(1047.64, 436.48)","(564.989563,-528.583374,291.472656)"
"(229.0, 441.0)","(1050.0, 435.0)","(564.5513305664062, -529.74267578125, 290.8367004394531)","(232.26, 447.98)","(1046.27, 436.65)","(565.088562,-528.265564,291.527466)"
