Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(220.0, 430.0)","(1062.0, 439.0)","(563.7667236328125, -532.801025390625, 289.4442443847656)","(223.85, 429.9)","(1055.31, 440.28)","(563.816284,-531.490845,289.416260)"
"(220.0, 429.0)","(1061.0, 439.0)","(563.6005859375, -532.760498046875, 289.2901916503906)","(224.49, 429.4)","(1053.96, 440.21)","(563.768372,-531.301758,289.362732)"
"(221.0, 428.0)","(1060.0, 439.0)","(563.66748046875, -532.60986328125, 289.25701904296875)","(225.43, 429.39)","(1053.17, 440.19)","(563.881836,-531.104675,289.423584)"
"(222.0, 431.0)","(1059.0, 444.0)","(564.00927734375, -531.80615234375, 289.40692138671875)","(226.8, 429.65)","(1052.67, 439.98)","(564.137512,-530.886230,289.585510)"
"(222.0, 432.0)","(1052.0, 438.0)","(562.9639282226562, -531.27685546875, 289.2370910644531)","(227.93, 428.64)","(1051.11, 440.29)","(564.167603,-530.633179,289.519104)"
"(225.0, 428.0)","(1050.0, 439.0)","(563.2855834960938, -530.9594116210938, 289.0810241699219)","(229.01, 429.0)","(1050.17, 440.17)","(564.303345,-530.379272,289.622498)"
"(226.0, 428.0)","(1051.0, 439.0)","(563.64892578125, -530.9700927734375, 289.267333984375)","(230.09, 429.03)","(1052.58, 438.53)","(564.829285,-530.658997,289.970734)"
"(226.0, 429.0)","(1053.0, 440.0)","(563.9732055664062, -531.0652465820312, 289.4532165527344)","(231.01, 429.23)","(1048.88, 439.98)","(564.599365,-529.996521,289.804047)"
"(228.0, 429.0)","(1048.0, 440.0)","(563.7786865234375, -530.2391357421875, 289.36322021484375)","(231.49, 429.57)","(1048.2, 439.82)","(564.628113,-529.844543,289.851868)"
"(232.0, 432.0)","(1044.0, 436.0)","(564.1729125976562, -529.3390502929688, 289.9778137207031)","(236.87, 429.74)","(1044.29, 438.01)","(565.313354,-528.884094,290.314697)"
"(232.0, 432.0)","(1047.0, 439.0)","(564.6485595703125, -529.5023193359375, 290.0740661621094)","(238.68, 429.03)","(1043.27, 437.8)","(565.566895,-528.631714,290.408997)"
"(233.0, 432.0)","(1048.0, 444.0)","(565.1444702148438, -529.179443359375, 290.08831787109375)","(239.88, 428.9)","(1043.08, 436.74)","(565.786865,-528.557617,290.565430)"
"(234.0, 434.0)","(1046.0, 444.0)","(565.1781005859375, -528.6658935546875, 290.2490539550781)","(240.93, 429.14)","(1042.76, 435.86)","(565.971985,-528.442566,290.721283)"
"(234.0, 434.0)","(1040.0, 441.0)","(564.3031616210938, -528.1383666992188, 289.9527587890625)","(242.3, 429.19)","(1041.52, 436.79)","(566.149292,-528.074585,290.774841)"
"(235.0, 434.0)","(1041.0, 439.0)","(564.6141357421875, -528.2831420898438, 290.2083435058594)","(243.66, 428.81)","(1041.42, 434.39)","(566.374878,-528.103699,290.981018)"
"(240.0, 428.0)","(1040.0, 439.0)","(565.4339599609375, -528.0917358398438, 290.2176818847656)","(245.15, 429.72)","(1039.4, 433.83)","(566.465332,-527.658630,291.123016)"
"(236.0, 434.0)","(1038.0, 439.0)","(564.4464111328125, -527.8087768554688, 290.1277160644531)","(246.99, 430.03)","(1038.32, 433.46)","(566.746155,-527.324341,291.310699)"
"(240.0, 428.0)","(1037.0, 443.0)","(565.1390380859375, -527.4591064453125, 289.8788146972656)","(248.81, 430.33)","(1035.86, 437.63)","(566.953735,-526.520325,291.243774)"
"(240.0, 432.0)","(1032.0, 440.0)","(564.528564453125, -526.7320556640625, 289.9958801269531)","(250.2, 430.42)","(1034.75, 439.44)","(567.174255,-526.102722,291.279449)"
"(244.0, 430.0)","(1035.0, 438.0)","(565.7304077148438, -526.9490966796875, 290.5700988769531)","(252.45, 430.66)","(1029.28, 440.82)","(566.999939,-525.076294,291.150818)"
