Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(226.0, 431.0)","(1059.0, 432.0)","(564.6178588867188, -532.1617431640625, 290.2972412109375)","(224.27, 431.32)","(1054.98, 433.78)","(563.746033,-531.722229,289.790802)"
"(227.0, 430.0)","(1057.0, 434.0)","(564.6063232421875, -531.7575073242188, 290.1300048828125)","(225.54, 431.32)","(1053.85, 433.57)","(563.887024,-531.459778,289.876556)"
"(227.0, 430.0)","(1056.0, 432.0)","(564.42138671875, -531.7693481445312, 290.13177490234375)","(226.23, 431.37)","(1052.7, 433.54)","(563.896912,-531.242615,289.889191)"
"(228.0, 431.0)","(1056.0, 432.0)","(564.6885986328125, -531.5789794921875, 290.3406982421875)","(227.87, 431.8)","(1053.09, 433.0)","(564.329468,-531.110596,290.168884)"
"(230.0, 431.0)","(1054.0, 432.0)","(564.8900756835938, -531.1170043945312, 290.44976806640625)","(229.26, 431.58)","(1052.2, 432.6)","(564.516785,-530.894165,290.271851)"
"(232.0, 429.0)","(1054.0, 432.0)","(565.285888671875, -531.0574951171875, 290.51507568359375)","(230.72, 431.53)","(1051.06, 432.51)","(564.701050,-530.605530,290.370911)"
"(230.0, 430.0)","(1053.0, 432.0)","(564.7237548828125, -531.0762939453125, 290.2955322265625)","(231.61, 431.44)","(1050.33, 432.26)","(564.801392,-530.442932,290.430267)"
"(232.0, 429.0)","(1052.0, 432.0)","(565.0218505859375, -530.8154296875, 290.38250732421875)","(232.57, 431.45)","(1050.06, 432.21)","(564.987366,-530.307129,290.530579)"
"(235.0, 435.0)","(1051.0, 432.0)","(565.7904663085938, -529.883056640625, 291.2040710449219)","(233.1, 431.74)","(1049.38, 432.29)","(565.032288,-530.137817,290.571899)"
"(235.0, 433.0)","(1050.0, 432.0)","(565.5900268554688, -529.9220581054688, 290.9622497558594)","(235.07, 431.98)","(1048.29, 432.72)","(565.364014,-529.740906,290.742737)"
"(235.0, 428.0)","(1048.0, 432.0)","(565.1551513671875, -530.0811767578125, 290.3906555175781)","(235.41, 432.19)","(1046.64, 432.9)","(565.236023,-529.474670,290.685974)"
"(238.0, 431.0)","(1048.0, 432.0)","(565.9520874023438, -529.5096435546875, 291.0147399902344)","(236.8, 432.42)","(1045.64, 433.0)","(565.435364,-529.175110,290.803009)"
"(237.0, 431.0)","(1046.0, 433.0)","(565.4814453125, -529.3107299804688, 290.7268371582031)","(238.8, 432.07)","(1044.25, 433.08)","(565.703613,-528.808960,290.917053)"
"(240.0, 431.0)","(1045.0, 433.0)","(566.042724609375, -528.8588256835938, 291.0204772949219)","(239.8, 432.01)","(1043.47, 432.95)","(565.825684,-528.617615,290.984192)"
"(242.0, 431.0)","(1044.0, 433.0)","(566.3721313476562, -528.5170288085938, 291.1937561035156)","(240.63, 432.08)","(1042.95, 432.9)","(565.949280,-528.460815,291.056854)"
"(242.0, 428.0)","(1043.0, 432.0)","(566.1124877929688, -528.7035522460938, 290.8992004394531)","(241.95, 432.18)","(1042.69, 432.77)","(566.219543,-528.284424,291.211029)"
"(244.0, 431.0)","(1042.0, 432.0)","(566.541748046875, -528.120849609375, 291.33441162109375)","(242.99, 432.27)","(1041.47, 432.9)","(566.303528,-528.005798,291.257355)"
"(243.0, 431.0)","(1042.0, 432.0)","(566.3108520507812, -528.2310791015625, 291.2144775390625)","(243.65, 432.33)","(1038.69, 432.35)","(566.072998,-527.627808,291.174438)"
"(244.0, 429.0)","(1040.0, 432.0)","(566.208740234375, -528.038818359375, 291.0260009765625)","(244.7, 432.35)","(1036.76, 431.92)","(566.047119,-527.304993,291.187347)"
"(244.0, 429.0)","(1040.0, 432.0)","(566.208740234375, -528.038818359375, 291.0260009765625)","(246.26, 432.14)","(1036.75, 432.22)","(566.405945,-527.128296,291.344635)"
"(248.0, 430.0)","(1041.0, 432.0)","(567.2986450195312, -527.6385498046875, 291.6597595214844)","(247.34, 432.28)","(1035.7, 432.62)","(566.529175,-526.843567,291.401459)"
"(247.0, 434.0)","(1036.0, 432.0)","(566.531494140625, -526.8212280273438, 291.5518798828125)","(249.21, 432.44)","(1033.64, 431.88)","(566.670044,-526.423889,291.526001)"
"(249.0, 430.0)","(1034.0, 430.0)","(566.5420532226562, -526.8130493164062, 291.3787841796875)","(250.53, 432.53)","(1031.97, 431.75)","(566.749451,-526.076843,291.583496)"
"(250.0, 430.0)","(1034.0, 430.0)","(566.7721557617188, -526.7025756835938, 291.498291015625)","(251.84, 432.66)","(1030.42, 431.55)","(566.841797,-525.747070,291.653625)"
"(254.0, 431.0)","(1032.0, 430.0)","(567.456787109375, -525.937744140625, 291.92840576171875)","(253.16, 432.75)","(1028.91, 431.52)","(566.944214,-525.412537,291.717896)"
"(255.0, 433.0)","(1031.0, 430.0)","(567.6168823242188, -525.5454711914062, 292.1534729003906)","(255.5, 432.44)","(1027.5, 431.75)","(567.287354,-524.992004,291.866516)"
"(256.0, 431.0)","(1030.0, 430.0)","(567.6475219726562, -525.473876953125, 292.0320129394531)","(256.3, 432.55)","(1026.17, 431.37)","(567.285706,-524.758667,291.894623)"
"(257.0, 431.0)","(1029.0, 430.0)","(567.74267578125, -525.241943359375, 292.0837097167969)","(257.87, 432.95)","(1025.4, 431.21)","(567.550476,-524.470276,292.069458)"
"(260.0, 434.0)","(1026.0, 431.0)","(568.1474609375, -524.2377319335938, 292.4615478515625)","(258.95, 433.21)","(1024.13, 430.87)","(567.626404,-524.198608,292.146271)"
"(260.0, 433.0)","(1027.0, 432.0)","(568.2757568359375, -524.371826171875, 292.4078674316406)","(259.97, 433.29)","(1023.07, 430.98)","(567.722107,-523.943054,292.198578)"
"(258.0, 438.0)","(1024.0, 431.0)","(567.5467529296875, -523.8955688476562, 292.43206787109375)","(260.66, 433.56)","(1021.78, 431.17)","(567.719116,-523.675476,292.209503)"
"(260.0, 438.0)","(1022.0, 431.0)","(567.7338256835938, -523.4312744140625, 292.5335693359375)","(262.69, 433.12)","(1020.15, 431.0)","(567.944702,-523.299377,292.307922)"
"(262.0, 438.0)","(1022.0, 431.0)","(568.1907348632812, -523.2100830078125, 292.7709045410156)","(264.12, 433.22)","(1018.16, 429.79)","(567.975159,-522.973083,292.393738)"
"(264.0, 434.0)","(1020.0, 431.0)","(568.2513427734375, -523.0656127929688, 292.52874755859375)","(265.65, 433.78)","(1016.01, 429.09)","(568.033447,-522.544922,292.501678)"
"(264.0, 439.0)","(1020.0, 431.0)","(568.4077758789062, -522.6656494140625, 292.9573669433594)","(266.61, 433.98)","(1014.64, 429.33)","(568.078796,-522.239624,292.530579)"
"(266.0, 438.0)","(1018.0, 431.0)","(568.5615844726562, -522.2808837890625, 292.9721374511719)","(267.81, 434.12)","(1013.88, 429.84)","(568.265991,-521.968384,292.614532)"
"(267.0, 439.0)","(1017.0, 430.0)","(568.6600341796875, -522.0364379882812, 293.1434631347656)","(269.66, 433.83)","(1013.8, 430.25)","(568.677612,-521.749084,292.788483)"
"(268.0, 439.0)","(1016.0, 430.0)","(568.751953125, -521.8040771484375, 293.1933898925781)","(271.04, 433.76)","(1013.31, 430.49)","(568.928955,-521.525818,292.903595)"
"(269.0, 439.0)","(1014.0, 430.0)","(568.7077026367188, -521.4498901367188, 293.1746826171875)","(271.98, 433.71)","(1012.63, 430.8)","(569.056458,-521.321716,292.952789)"
"(270.0, 439.0)","(1014.0, 430.0)","(568.935302734375, -521.3392333984375, 293.2929382324219)","(273.47, 433.75)","(1011.86, 430.74)","(569.290405,-521.063721,293.081726)"
"(271.0, 439.0)","(1014.0, 430.0)","(569.1627807617188, -521.2284545898438, 293.4111328125)","(274.42, 434.05)","(1011.59, 431.16)","(569.489197,-520.872864,293.185974)"
"(273.0, 439.0)","(1012.0, 431.0)","(569.3694458007812, -520.6953125, 293.4739685058594)","(275.44, 434.32)","(1011.15, 431.59)","(569.679932,-520.655334,293.283813)"
"(273.0, 439.0)","(1011.0, 431.0)","(569.2330322265625, -520.5735473632812, 293.4052734375)","(276.25, 434.34)","(1011.05, 431.64)","(569.852295,-520.548279,293.372467)"
"(275.0, 442.0)","(1010.0, 431.0)","(569.6416015625, -519.9907836914062, 293.82720947265625)","(277.44, 433.92)","(1010.03, 431.3)","(569.962341,-520.348938,293.419342)"
"(276.0, 442.0)","(1010.0, 431.0)","(569.8685302734375, -519.8800048828125, 293.9450988769531)","(278.84, 434.07)","(1009.55, 431.45)","(570.223083,-520.112854,293.558868)"
"(281.0, 436.0)","(1008.0, 430.0)","(570.5244750976562, -519.6290283203125, 293.92352294921875)","(280.24, 434.06)","(1007.81, 431.09)","(570.293823,-519.770935,293.616333)"
"(281.0, 434.0)","(1007.0, 430.0)","(570.3273315429688, -519.6671752929688, 293.6845397949219)","(281.2, 434.04)","(1004.62, 429.95)","(570.046631,-519.355225,293.549225)"
