Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(322.0, 409.0)","(962.0, 440.0)","(572.837646484375, -510.925048828125, 292.8694763183594)","(321.42, 406.4)","(961.33, 440.58)","(572.557251,-511.079376,292.516785)"
"(321.0, 404.0)","(962.0, 440.0)","(572.4791259765625, -511.444580078125, 292.33575439453125)","(323.25, 406.59)","(960.67, 440.47)","(572.875549,-510.785217,292.702026)"
"(325.0, 404.0)","(961.0, 440.0)","(573.2316284179688, -510.87237548828125, 292.7284240722656)","(324.24, 406.35)","(960.18, 440.6)","(573.024048,-510.624451,292.757202)"
"(322.0, 404.0)","(959.0, 440.0)","(572.2833251953125, -510.96649169921875, 292.2420654296875)","(325.08, 406.17)","(959.62, 440.57)","(573.127258,-510.478333,292.801086)"
"(324.0, 405.0)","(959.0, 440.0)","(572.755859375, -510.65972900390625, 292.556640625)","(325.72, 406.07)","(958.24, 440.44)","(573.070923,-510.255310,292.774841)"
"(324.0, 404.0)","(958.0, 440.0)","(572.5891723632812, -510.6193542480469, 292.4031982421875)","(327.14, 406.56)","(956.67, 440.36)","(573.178162,-509.869690,292.872406)"
"(328.0, 402.0)","(957.0, 440.0)","(573.2863159179688, -510.20989990234375, 292.6278381347656)","(328.24, 406.73)","(956.08, 440.47)","(573.346863,-509.652252,292.967804)"
"(329.0, 405.0)","(955.0, 440.0)","(573.30810546875, -509.60882568359375, 292.85321044921875)","(328.91, 406.81)","(954.33, 440.4)","(573.250732,-509.361786,292.931427)"
"(327.0, 405.0)","(954.0, 440.0)","(572.723388671875, -509.7123718261719, 292.552734375)","(328.8, 406.31)","(953.41, 440.25)","(573.080566,-509.313232,292.818237)"
"(327.0, 404.0)","(951.0, 439.0)","(572.2548217773438, -509.4988708496094, 292.296875)","(331.54, 406.49)","(952.0, 440.05)","(573.491211,-508.831940,293.056976)"
"(327.0, 405.0)","(950.0, 439.0)","(572.1412353515625, -509.2955017089844, 292.31011962890625)","(332.29, 406.42)","(950.97, 440.11)","(573.512207,-508.623199,293.062683)"
