Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(242.0, 427.0)","(1028.0, 430.0)","(564.03515625, -527.1015014648438, 289.88037109375)","(252.8, 430.65)","(1027.49, 431.9)","(566.612976,-525.422852,291.384277)"
"(253.0, 430.0)","(1026.0, 430.0)","(566.3900146484375, -525.4003295898438, 291.3179626464844)","(253.58, 431.06)","(1025.73, 432.13)","(566.574768,-525.074463,291.385834)"
"(244.0, 427.0)","(1026.0, 430.0)","(564.2286376953125, -526.6380615234375, 289.9855041503906)","(254.28, 431.04)","(1024.4, 431.91)","(566.550354,-524.851990,291.385376)"
"(252.0, 431.0)","(1024.0, 430.0)","(565.9251708984375, -525.1879272460938, 291.1507568359375)","(256.75, 431.02)","(1023.41, 431.78)","(566.978943,-524.468750,291.615051)"
"(255.0, 427.0)","(1022.0, 430.0)","(566.2156982421875, -524.9351806640625, 291.0270690917969)","(257.28, 431.25)","(1021.18, 432.35)","(566.821777,-524.082153,291.526947)"
"(253.0, 426.0)","(1022.0, 430.0)","(565.7256469726562, -525.2373657226562, 290.70257568359375)","(257.33, 431.35)","(1021.06, 432.03)","(566.812256,-524.075745,291.544647)"
"(254.0, 428.0)","(1021.0, 430.0)","(565.8848876953125, -524.8441162109375, 290.9273376464844)","(258.75, 431.28)","(1019.7, 432.33)","(566.958984,-523.738525,291.604553)"
"(257.0, 430.0)","(1021.0, 430.0)","(566.6348876953125, -524.350830078125, 291.4565734863281)","(257.64, 430.5)","(1019.4, 432.34)","(566.640564,-523.887085,291.385040)"
"(266.0, 430.0)","(1018.0, 430.0)","(568.2872314453125, -522.9896240234375, 292.32171630859375)","(266.79, 431.97)","(1014.64, 432.59)","(568.137817,-522.159424,292.263367)"
"(264.0, 431.0)","(1017.0, 430.0)","(567.7266845703125, -523.0093383789062, 292.1025085449219)","(266.99, 432.13)","(1011.56, 433.03)","(567.781616,-521.719849,292.075073)"
"(271.0, 430.0)","(1006.0, 435.0)","(567.9210815429688, -520.6351318359375, 291.91632080078125)","(263.15, 425.74)","(1008.61, 433.46)","(566.321716,-522.272949,290.858551)"
"(282.0, 426.0)","(992.0, 433.0)","(568.3346557617188, -518.167236328125, 291.9823913574219)","(283.38, 426.42)","(995.93, 432.1)","(569.174683,-518.519531,292.482330)"
"(302.0, 430.0)","(980.0, 429.0)","(571.2039184570312, -514.4300537109375, 293.9726867675781)","(297.44, 431.85)","(981.19, 433.12)","(570.493225,-514.650146,293.526947)"
"(302.0, 432.0)","(977.0, 429.0)","(570.8439331054688, -513.9039306640625, 293.9309387207031)","(300.43, 431.18)","(977.66, 432.98)","(570.652100,-513.949585,293.578033)"
