Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(276.0, 405.0)","(1003.0, 446.0)","(568.150390625, -520.9851684570312, 289.7681884765625)","(283.85, 402.3)","(1002.1, 442.85)","(569.654114,-520.434998,290.511627)"
"(278.0, 404.0)","(1002.0, 446.0)","(568.4387817382812, -520.7216186523438, 289.8500061035156)","(284.37, 402.19)","(1001.66, 442.6)","(569.703003,-520.349426,290.542419)"
"(278.0, 405.0)","(1002.0, 446.0)","(568.4696044921875, -520.6399536132812, 289.9360046386719)","(286.14, 401.72)","(1000.78, 442.81)","(569.976379,-520.068481,290.643188)"
"(280.0, 404.0)","(1001.0, 446.0)","(568.7576293945312, -520.3763427734375, 290.01763916015625)","(286.83, 401.71)","(1000.16, 442.82)","(570.048645,-519.915955,290.681030)"
"(280.0, 404.0)","(999.0, 446.0)","(568.4859008789062, -520.1331176757812, 289.8819274902344)","(287.44, 401.63)","(999.46, 442.76)","(570.087952,-519.773254,290.700439)"
"(281.0, 404.0)","(999.0, 446.0)","(568.712890625, -520.0211791992188, 289.9994812011719)","(288.36, 401.51)","(998.29, 443.12)","(570.142273,-519.513000,290.705872)"
"(286.0, 401.0)","(998.0, 446.0)","(569.62060546875, -519.5850219726562, 290.261962890625)","(289.41, 401.28)","(996.8, 443.56)","(570.180664,-519.202637,290.692261)"
"(284.0, 404.0)","(996.0, 446.0)","(568.9851684570312, -519.320556640625, 290.14801025390625)","(290.85, 401.23)","(996.33, 443.45)","(570.439026,-518.995911,290.829102)"
"(284.0, 404.0)","(996.0, 446.0)","(568.9851684570312, -519.320556640625, 290.14801025390625)","(291.77, 401.26)","(995.4, 443.48)","(570.522034,-518.775208,290.875183)"
"(286.0, 403.0)","(994.0, 446.0)","(569.1355590820312, -518.9349365234375, 290.1610107421875)","(292.94, 400.85)","(994.41, 443.61)","(570.642639,-518.548157,290.905151)"
"(286.0, 403.0)","(993.0, 446.0)","(568.9992065429688, -518.8133544921875, 290.0928955078125)","(294.08, 400.68)","(993.83, 443.54)","(570.814880,-518.368652,290.987335)"
"(288.0, 403.0)","(993.0, 446.0)","(569.4520874023438, -518.5892944335938, 290.3274230957031)","(294.77, 400.57)","(992.33, 443.38)","(570.758423,-518.128784,290.961945)"
"(289.0, 403.0)","(991.0, 446.0)","(569.4050903320312, -518.23388671875, 290.30816650390625)","(295.53, 400.37)","(991.62, 443.5)","(570.830017,-517.965271,290.981079)"
"(290.0, 402.0)","(990.0, 446.0)","(569.4647827148438, -518.081787109375, 290.27166748046875)","(296.46, 400.31)","(989.93, 444.25)","(570.824524,-517.608215,290.942200)"
"(291.0, 402.0)","(989.0, 446.0)","(569.5540771484375, -517.8480224609375, 290.3204650878906)","(297.89, 399.99)","(989.0, 444.43)","(571.015015,-517.348328,291.012177)"
"(292.0, 402.0)","(989.0, 444.0)","(569.7327270507812, -517.8743286132812, 290.5094909667969)","(298.67, 399.98)","(987.84, 444.58)","(571.035156,-517.110107,291.017670)"
"(293.0, 402.0)","(987.0, 446.0)","(569.7319946289062, -517.3802490234375, 290.4176940917969)","(299.82, 399.84)","(987.15, 444.7)","(571.198853,-516.900146,291.088593)"
"(294.0, 402.0)","(986.0, 446.0)","(569.82080078125, -517.1464233398438, 290.4662170410156)","(301.19, 399.25)","(986.6, 444.57)","(571.412292,-516.736694,291.165527)"
"(295.0, 402.0)","(986.0, 446.0)","(570.0465087890625, -517.0342407226562, 290.5830993652344)","(302.33, 399.07)","(985.79, 444.82)","(571.558716,-516.507446,291.218781)"
"(296.0, 401.0)","(985.0, 446.0)","(570.10546875, -516.8820190429688, 290.5462951660156)","(302.95, 398.73)","(983.9, 444.79)","(571.427551,-516.237549,291.133423)"
"(297.0, 401.0)","(984.0, 446.0)","(570.1937866210938, -516.6480102539062, 290.5945739746094)","(303.51, 398.49)","(983.07, 444.81)","(571.432922,-516.091797,291.120605)"
"(298.0, 400.0)","(983.0, 446.0)","(570.2527465820312, -516.495849609375, 290.5577697753906)","(304.37, 398.15)","(982.11, 444.97)","(571.488403,-515.894958,291.120270)"
"(304.0, 397.0)","(981.0, 446.0)","(571.2426147460938, -515.8238525390625, 290.8656005859375)","(306.83, 397.02)","(980.68, 445.32)","(571.820862,-515.512573,291.200134)"
"(302.0, 399.0)","(979.0, 446.0)","(570.574462890625, -515.6414184570312, 290.664794921875)","(308.55, 396.96)","(979.19, 445.54)","(572.005737,-515.127258,291.284912)"
"(303.0, 400.0)","(977.0, 447.0)","(570.57568359375, -515.1339111328125, 290.6920471191406)","(310.46, 396.51)","(977.62, 445.68)","(572.208679,-514.748291,291.355865)"
"(304.0, 399.0)","(976.0, 447.0)","(570.6339721679688, -514.9816284179688, 290.65496826171875)","(311.49, 396.38)","(976.49, 445.69)","(572.280334,-514.504639,291.386383)"
"(306.0, 398.0)","(975.0, 447.0)","(570.9166870117188, -514.7167358398438, 290.7341003417969)","(313.24, 396.07)","(975.47, 445.85)","(572.527283,-514.197693,291.487457)"
"(308.0, 398.0)","(973.0, 447.0)","(571.0894165039062, -514.248046875, 290.8287048339844)","(314.63, 395.73)","(973.35, 445.84)","(572.535522,-513.811401,291.474030)"
"(313.0, 395.0)","(972.0, 448.0)","(572.010986328125, -513.7391357421875, 291.05029296875)","(316.1, 395.11)","(972.12, 445.9)","(572.678650,-513.542603,291.505096)"
"(310.0, 398.0)","(971.0, 448.0)","(571.2841186523438, -513.7094116210938, 290.8862609863281)","(317.6, 394.49)","(970.33, 446.82)","(572.769836,-513.141846,291.469086)"
