Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(163.0, 426.0)","(1112.0, 435.0)","(556.4112548828125, -545.624755859375, 285.42059326171875)","(166.11, 426.55)","(1113.17, 438.87)","(557.438782,-545.132812,285.810059)"
"(163.0, 424.0)","(1111.0, 434.0)","(556.1771850585938, -545.7312622070312, 285.2058410644531)","(167.0, 426.4)","(1111.71, 438.64)","(557.457214,-544.888794,285.823059)"
"(165.0, 427.0)","(1110.0, 434.0)","(556.652587890625, -545.1522827148438, 285.66802978515625)","(167.34, 426.48)","(1110.95, 438.36)","(557.438782,-544.772766,285.833984)"
"(167.0, 426.0)","(1109.0, 434.0)","(556.9669189453125, -544.8955688476562, 285.7626953125)","(168.75, 426.94)","(1110.34, 438.27)","(557.715881,-544.515015,286.015961)"
"(167.0, 426.0)","(1108.0, 434.0)","(556.8423461914062, -544.7767333984375, 285.7003173828125)","(170.05, 426.45)","(1109.45, 438.38)","(557.899475,-544.299438,286.073425)"
"(170.0, 426.0)","(1108.0, 434.0)","(557.5598754882812, -544.4490356445312, 286.0730285644531)","(171.78, 426.5)","(1108.25, 438.36)","(558.164368,-543.964844,286.218140)"
"(170.0, 426.0)","(1107.0, 434.0)","(557.4349975585938, -544.3301391601562, 286.0104675292969)","(173.0, 426.67)","(1107.4, 438.2)","(558.351440,-543.726868,286.336670)"
"(171.0, 427.0)","(1106.0, 434.0)","(557.5885620117188, -544.0213623046875, 286.16339111328125)","(173.88, 426.64)","(1106.61, 438.14)","(558.459656,-543.542908,286.395294)"
"(171.0, 423.0)","(1104.0, 434.0)","(557.1801147460938, -544.1058959960938, 285.6722717285156)","(174.75, 426.63)","(1105.28, 438.13)","(558.499634,-543.290710,286.418823)"
"(173.0, 424.0)","(1103.0, 434.0)","(557.572021484375, -543.6874389648438, 285.9491271972656)","(175.28, 426.65)","(1103.68, 438.09)","(558.424622,-543.042908,286.386810)"
"(173.0, 426.0)","(1102.0, 434.0)","(557.5255737304688, -543.4071044921875, 286.0690612792969)","(176.22, 426.63)","(1102.94, 437.86)","(558.548157,-542.868225,286.462006)"
"(176.0, 427.0)","(1101.0, 434.0)","(558.1541748046875, -542.87939453125, 286.4687194824219)","(177.14, 426.64)","(1101.83, 437.81)","(558.626648,-542.637573,286.508270)"
"(178.0, 427.0)","(1100.0, 434.0)","(558.5046997070312, -542.5414428710938, 286.6530456542969)","(177.74, 426.56)","(1101.02, 437.93)","(558.667908,-542.473938,286.520233)"
"(180.0, 428.0)","(1099.0, 434.0)","(558.8933715820312, -542.1229858398438, 286.927978515625)","(178.54, 426.51)","(1099.72, 437.84)","(558.689941,-542.241028,286.535309)"
"(178.0, 426.0)","(1098.0, 434.0)","(558.2138671875, -542.3833618164062, 286.43585205078125)","(179.31, 426.4)","(1099.18, 437.68)","(558.796021,-542.111450,286.591370)"
"(181.0, 426.0)","(1097.0, 434.0)","(558.8011474609375, -541.9357299804688, 286.7431640625)","(180.67, 426.01)","(1097.86, 437.87)","(558.943237,-541.824036,286.634277)"
"(180.0, 426.0)","(1096.0, 434.0)","(558.4373168945312, -541.92578125, 286.5565185546875)","(181.6, 426.1)","(1096.34, 437.75)","(558.972107,-541.541016,286.664734)"
"(183.0, 427.0)","(1095.0, 434.0)","(559.0621948242188, -541.3975219726562, 286.9540710449219)","(182.99, 426.05)","(1095.4, 437.69)","(559.179749,-541.284363,286.773865)"
"(184.0, 423.0)","(1094.0, 434.0)","(559.0189208984375, -541.4909057617188, 286.6507873535156)","(183.76, 426.11)","(1094.45, 437.69)","(559.244446,-541.081604,286.813904)"
"(185.0, 424.0)","(1094.0, 438.0)","(559.409423828125, -541.0418701171875, 286.73687744140625)","(185.11, 426.05)","(1093.23, 437.73)","(559.408936,-540.790039,286.895874)"
"(185.0, 426.0)","(1091.0, 433.0)","(558.963134765625, -540.8455810546875, 286.88800048828125)","(186.23, 425.98)","(1091.61, 437.56)","(559.461304,-540.489990,286.929810)"
"(186.0, 426.0)","(1090.0, 433.0)","(559.0732421875, -540.616455078125, 286.947509765625)","(187.9, 425.61)","(1091.15, 437.45)","(559.781311,-540.289001,287.075989)"
"(186.0, 427.0)","(1088.0, 433.0)","(558.8576049804688, -540.2965698242188, 286.9107666015625)","(189.09, 425.67)","(1089.35, 437.47)","(559.836975,-539.936707,287.112274)"
"(192.0, 424.0)","(1086.0, 433.0)","(559.9087524414062, -539.6414794921875, 287.2492980957031)","(191.48, 425.58)","(1086.78, 437.4)","(560.069397,-539.378418,287.235687)"
"(190.0, 428.0)","(1084.0, 433.0)","(559.332275390625, -539.2986450195312, 287.2370910644531)","(192.3, 425.51)","(1085.07, 437.25)","(560.038025,-539.098816,287.225403)"
"(191.0, 426.0)","(1083.0, 432.0)","(559.3375244140625, -539.29541015625, 287.14788818359375)","(194.77, 424.97)","(1083.4, 437.08)","(560.382751,-538.682129,287.378052)"
"(189.0, 423.0)","(1082.0, 432.0)","(558.6249389648438, -539.63720703125, 286.56793212890625)","(196.47, 425.14)","(1082.56, 437.15)","(560.684692,-538.376526,287.545380)"
"(195.0, 423.0)","(1080.0, 432.0)","(559.7859497070312, -538.7391967773438, 287.17578125)","(197.8, 425.16)","(1080.97, 436.89)","(560.787964,-538.054993,287.616272)"
"(194.0, 424.0)","(1079.0, 432.0)","(559.4599609375, -538.6483154296875, 287.0794982910156)","(198.37, 425.14)","(1079.56, 436.99)","(560.743408,-537.818115,287.590240)"
"(200.0, 424.0)","(1078.0, 432.0)","(560.7454833984375, -537.869873046875, 287.7496032714844)","(200.05, 424.92)","(1078.23, 437.02)","(560.960876,-537.489563,287.689209)"
"(196.0, 426.0)","(1076.0, 432.0)","(559.6218872070312, -537.9074096679688, 287.3117980957031)","(201.2, 424.85)","(1077.27, 437.01)","(561.105225,-537.254211,287.761841)"
"(199.0, 424.0)","(1075.0, 432.0)","(560.1254272460938, -537.6194458007812, 287.4345397949219)","(202.94, 424.71)","(1075.88, 436.74)","(561.322876,-536.924927,287.880890)"
"(198.0, 423.0)","(1074.0, 432.0)","(559.72509765625, -537.6900634765625, 287.1582946777344)","(203.91, 424.65)","(1074.83, 436.84)","(561.416138,-536.690369,287.922699)"
"(200.0, 424.0)","(1072.0, 432.0)","(559.9755859375, -537.1493530273438, 287.3636779785156)","(205.07, 424.54)","(1073.39, 436.63)","(561.493042,-536.412231,287.968109)"
